shulen,shuleni
kemuresi,kemugesi
igongwa b,igongwa
igongwa a,igongwa
mukomakoma,kumkomakoma
kishoju,kishoju 1
kishoju 4,kishoju 1
kishoju b,kishoju 1
kishoju 3,kishoju 1
kanoge b,kanoge
mamba b,mamba a
simhha,simha
endamasak,endasak
mitengwe magharibi,mitengwe mashariki
unyang'ngo,unyang'ongo
nguuni,unguuni
alosinoni,losinoni
lupemba,lupembe
mukalinzi,kalinzi
matanya,matanka
mtanka,matanka
ng'hesha,ng'esha
lumemo b,lumemo a
lumemo,lumemo a
kisanjuni,kisanzuni
kibondeni,kiondeni
igembe,ighembe
mwabalamba,mwabalambu
milombwa,ilomba
mpunga,mpuga
mgwasi,mgwashi
mgwashi b,mgwashi
muhinda kati,mhinda kati
ndingika,ndinyika
msamanene,msamaneni
mwamabuli,mwababuli
kasana,kasanda
kiimawe,kimawe
kagenyi a,kagenyi b
ikoo,ikovo
mvumi b,mvumi a
havanga,mavanga
nyabusozi b,nyabusozi
bulongi,bulongo
olorien,olorieni
orieni,olorieni
idulele,ndulele
usei,usesi
kiwela b,kiwela a
sikutali,sukutali
kilama b,kilama a
nsenga,senga
kiingupira,kingupira
bugembe,bugeme
bunazi b,bunazi a
bunazi,bunazi a
maseni,miaseni
mrereni,urereni
nkeku,nkenku
kisakeni,kiseni
kiseeni,kiseni
kisaseni,kiseni
mwatandai,matanda
tongolo,matongolo
mangolo,matongolo
singiwe b,singiwe a
udumka,udumuka
idumuka,udumuka
kivelenge,kiverenge
mungongo,mugongo
mugogo,mugongo
katahoka centre,katoke centre
bugimu,ugimu
kaburonge,kabulonge
mukatanga,mkatanga
nyashoshi,nyashishi
ikugutu,itugutu
logelo,ilongelo
komuanga,komsanga
mayanga,maganga
mapanga,maganga
ngerengere kusini,ngerengere kaskazini
isagehe,isagenhe
malecela b,malecela
kereneno,kerenero
engerin,ingerin
masimba,masimbani
katindiuka c,katindiuka a
katindiuka b,katindiuka a
matyazo a,matyazo b
matiazo b,matyazo b
loseiya,noseiya
rau,mrau
mwambasimbe,mwabasimbe
moningori,muningori
mungori,muningori
saborien,sabore
namwawala b,namwawala a
mraueau,mraurau
mahuru,mahuu
dimani b,dimani
ikuyu,kikuyu
mabangalaa,mabangala
unyanyembe a,bunyanyembe
unyanyembe b,bunyanyembe
nkiniziwa a,nkiniziwa c
nkiniziwa d,nkiniziwa c
nkiniziwa b,nkiniziwa c
mae kati,mareu kati
mbyasyo,byasyo
olumeri,olumeli
olubombani,olubomba
ikingula,ikungula
nyakitonyo,nyakitono
kamcheni,kamficheni
mzambalaweni,mzambaraweni
mkona,mkonga
kumwayi,kumwai
chasimba a,chasimba
simbo b,simbo a
lugwana,lungwana
mriai,mria
olmatejoo,olomatejo
olmatejo,olomatejo
kagoye a,kagoye b
tandali,tandai
mungwamae,mungwaamae
katongoli,katyongoli
bulende,bulunde
nangombo kati,ng'ombo kati
lipangalala a,lipangalala
orkolili,olkolili
mkesha a,mkesha b
tengelemembe,tengelimembe
murumba,marumba
mrumba,marumba
mbae magharibi,mbae mashariki
mugoda,mgoda
mlegea b,mlegea
chibula,chabula
chalangwa c,chalangwa a
mulubanga,mlubanga
godauni b,godauni a
chilanga,chiyanga
chianga,chiyanga
iyanga,chiyanga
nkeso c,nkeso a
kagembe a,kagembe
kagembe b,kagembe
kamembe,kagembe
mgongoti,gongoti
ruganzo b,ruganzo a
mgombela,mombea
katungu,katunguru
kitomodo,kitomondo
kotomondo,kitomondo
mpingi a,mpingi b
bukwala,bukwaya
rutenge b,rutenge a
rabwiro,rabiro
imalange,imalangi
mapogolo b,mapogolo a
mapogolo,mapogolo a
mkondoo,mkondoa
moikane,moikani
nyamayebe,nyamalebe
kakunyu,kikunyu
mikunyu,kikunyu
kigo,igo
itanans,itanana
utanana,itanana
ilulu a,ilulu b
katela,kateela
mraembe,mrahembe
mrembe,mrahembe
busangi,bustani
makugulu 'a',makugulu 'b'
tella chini,tela chini
bukingwamizi,bukingwaminzi
mhokoi,mahokoi
mabokoi,mahokoi
nyang'hukulu,nyang'hulukulu
matani,matiani
kwaga a,kwaga b
bituntu,kituntu
jitengeni b,jitengeni
jitenge,jitengeni
jitengeni a,jitengeni
matadi b,matadi a
nyanzungu,nyanungu
nyanzugu,nyanungu
namahimba,namahimba a
namahimba b,namahimba a
magharibi a,magharibi b
makao makuu a,makao makuu b
sekela kati,mhekela kati
mkela kati,mhekela kati
stand b,stand a
matanga,mitanga
nyabuyange a,nyabuyange b
kiria a,kiria b
mukasenga,mkasenga
mkabenga,mkasenga
bugalama,galama
ntungulu,itungulu
utungulu,itungulu
gwanumpu,gwanumpu a
gwanumpu b,gwanumpu a
mgunga,migunga
ugominyi,uhominyi
mwasuta,mwasita
malugala,malula
iruwa,irua
nyarukongogo b,nyarukongogo a
nyarukongogo,nyarukongogo a
mgama b,mgama a
ubamba a,ubamba b
igomamuli,igomamhuli a
kikukuru,kakukuru
mtakanini a,mtakanini
umarin9,umarini
karamsing,karamsingi
ibangala,ipangala
kwatulele,kwa tulele
nyangh'ulukulu,nyanghuluku
mtambwe,matambwe
mchombe,mchombe a
matiazo a,matiazo c
majengo d,majengo c
namakinga a,namakinga b
bunoga,bunonga
kashozi a,kashozi b
kashozi c,kashozi b
marangu,marango
mwosi,mosi
mininga b,mininga a
mpeto a,mpeto b
mbangamoyo,bangamoyo
zongongomela,zongomela
nyamisati b,nyamisati a
masango,masimango
changalaw,changaraw
iusunga,isunga
itete b,itete a
kiwida a,kiwida
kombero,kombere
iwala kati,iwanga kati
nyashima,nyashimo
mwabasabi a,mwabasabi b
nyamirama,nyamerama
uhepere,uhepera
kisongo chini,ilkisongo chini
nyakuba,nyankuba
mbondeni road,bondeni road
bondeni roads,bondeni road
harezale,haruzale
mkomangambe,mkomang'ombe
nyasato,nyasato b
nyasato a,nyasato b
mndelo,mondelo
mnyusi a,mnyusi b
mnyusi,mnyusi b
mkula b,mkula a
mzizini b,mzizini a
mzizini,mzizini a
lipombwe,ipombwe
kavurugwa,kavuruga
ruyange,rusange
mashariki b,mashariki a
olidendereiti,olodendereit
budushi a,budushi b
kipogolo,kipogoro
mafungo,mabungo
nguruma kati,nduruma kati
itunda b,itunda a
mkokotela,ikokotela
nyandamba,nyangamba
loloboini,loloiboni
loloboni,loloiboni
mhandeni,handei
nyariyoba,nyaruyoba
nkonga chini,mkonga chini
wigelekelo magharibi,wigelekelo mashariki
bweru,mbweru
misufini a,misufini b
kanyinya,kinyinya
kinyinya c,kinyinya
makugira b,makugira a
makugira,makugira a
malesela,masela
nsyamba,nsambya
nyabibuye a,nyabibuye
nyabibuye b,nyabibuye
rubimba,rubumba
kduduma,kaduduma
nyampa b,nyampa a
nyamkongoti,nyamkong'oti
nzihi a,nzihi b
ihagala,igagala
mubamba b,mubamba
mubamba a,mubamba
sange,usange
mkolani c,mkolani
mikolani,mkolani
mkolani b,mkolani
mkolani a,mkolani
suba,isuba
isubha,isuba
mmbala,mbambala
naibile,naibili
buhulila,bulila
kirundo,kilundo
moparamawe,mparamawe
weru kati,welu kati
upigoro,upogoro
nanga a,nanga b
nyarushanga,nyarumanga
lituhi 'b',lituhi 'a'
mang'onyi st,mang'onyi
nyakigando,nyakagando
chakaralama,chakalamba
matangini a,matangini b
mbulige,bulige
murukurazo,mrukurazo
bastina,bastena
matundasi b,matundasi a
kemugongo b,kemugongo a
kemugongob,kemugongo a
senta b,senta a
kwemkangala,kwekangaga
mbeshi,mbesi
itubula,idubula
uchama,buchama
buhamba,buchama
leshabale,leshabala
mikwala,mkwalia
ugwandege,bugwandege
itipingi a,itipingi
mayavile,mayale
mayawile,mayale
ndorobo a,ndorobo b
mwarufyo,mwarufyu
mwamanga,mwamanonga
mwamanongu,mwamanonga
malamba a,malamba b
msimba b,msimba a
chibwini,chiwindi
mugoma,mungoma
masandare,masabdare
mkigando,omukigando
omkigando,omukigando
gitianga 'b',gitianga 'a'
mipeko a,mipeko b
larkaria,arkaria
larikaria,arkaria
orkaria,arkaria
momboni,miyomboni
kwigina,kwigena
kwigera,kwigena
oltukai,oltukay
busango b,busango
sagamaganga a,sagamaganga b
bunju,mbunju
kiwabdani,kiwandani
mori,moori
paakuyo,parakuyo
mwasima,mwasija
taniling'ani,itaniling'ani
miyembeni,myembeni
mkochini,mkocheni
mnyinga,minyinga
mninga,minyinga
kazalwe,kazarwe
chanyamilima,nyamilima
namba 8,namba 3
kileo kati,kileuwo kati
kileshi,kilesha
kikomero,kikoro
rukunyu,mukunyu
lukunyu,mukunyu
inyanga,minanga
mibanga,minanga
mnanga,minanga
mwamhuli,mwanhuli
midilika,mdilika
center b,center a
mwamhuba,mwamuhuba
inang'ana,mnang'ana
isageng'e,isegeng'e
ruhanga,buhanga
butanga,buhanga
mseke b,mseke a
nahimba,namahimba
nakahimba,namahimba
namamba,namahimba
lusalasi,lusarasi
manyolo b,manyolo a
segese center magharibi,segese center mashariki
mkangawale,mangwale
mavula,maula
gunga,ngunga
milanzi,mbilani
mbangala b,mbangala a
karangale,kalangale
mnyakay,mnyakaya
kihela a,kihela b
kavumu,kavumvu
osunyai,osinyai
mbola c,mbola a
mbola b,mbola a
nkamba,nkambara
nkambala,nkambara
mengele,sengele
mokumbero,mokombero
kasange,kasangezi
mtewele,matewele
sangananu,sanganani
itunidza,utunidza
kashasha,kamshansha
kamshasha,kamshansha
center mashariki,center magharibi
misalai,msalai
misalahi,msalai
shinga juu,singa juu
marangi,qarangi
rutunga,ruhunga
mkoani b,mkoani a
kyatabara,kyatabaro
kinyala,inyala
maswele,maswere
maswerw,maswere
kwaboi,kwaboli
atlaa,tlaa
kamana,kampanga
nyamilembi a,nyamilembi b
kahyoro,kayoro
mnari,nari
sangalalee,msangalalee
upuge a,upuge b
iyua,iyula
ibohola,ibohora
bohora,ibohora
mchangani b,mchangani a
bizivilinzamba c,bizivilinzamba a
mahanji,mahanje
nasuro a,nasuro b
mwanubi,mwasubi
mwadubi,mwasubi
kwemkame,kwemakame
kipalapala mashariki,kipalapala magharibi
pacha nne2,pacha nne
kisangada,kiangaa
rujebe,rujebe b
kamuli a,kamuli b
njiapanda a,njiapanda b
njipanda b,njiapanda b
ikola,kola
nyamemange,nyamimange
ngasinyi,ngasini
janda nbele,janda mbele
katahokwa a,katahokwa c
katahokwa d,katahokwa c
katahokwa b,katahokwa c
mrimashe,mrimasha
tuyombo,muyombo
kiwanjacha ndege,kiwanja ndege
walanga 'b',balanga
matela b,matela a
wisale,isale
kibembe,kitembe
mungai,munga
kilumbiu,kirumbiu
mwagimwagi,mwagimagi
isange,sange
chalo b,chalo a
mbomai chin9,mbomai chini
pahi magharibi,pahi mashariki
ilamata a,ilamata
kashawe,kasagwe
kamsunde,kamsunte
mwadele,mwakadele
maangani,maanga
bukinga,bujinga
itula a,iyula a
iyula b,iyula a
lyalamu,lyalamo
lyalam,lyalamo
mlange,imalange
maweni b,maweni a
ilea,ileya
kayanga 'a',kayanga
kilima hewa,kilimani hewa
kebunyi,kebunye
nyakavangala b,nyakavangala a
kibedagogolo s,kibedagogolo
nakawale,nakawale a
nakawale b,nakawale a
nakawele a,nakawale a
bacho a,bacho b
wangamiku,wangamiko
nkilifu,nkilifa
mnazimmoja a,mnazimoja
mawande,mabande
kasaka b,kasaka a
chikongola,chikongo
chikongora,chikongo
mabambila,mbamila
ngwramu,ngweamu
korintho,ikorinto
bisya,bisyan
mumuhamba kati,mumuhamba ya kati
tambukaleli,tambukaleri
liganga,ligange
oro,soro
mwalushu b,mwalushu a
kishiri,kishili
kishili b,kishili
14kambarage,14kambalage
kitarahota a,kitarahota b
itelama,kitelama
ruota,rupota
mkanawalo,mkangawalo
kivulini a,kivulini b
mwamiso,mwamilo
mwahilo,mwamilo
kandawale b,kandawale a
ruanga,ruhanga
simiyu b,simiyu a
ikingulla,ikingula
nyarwenda,narwenda
makonde a,makonde
ikega,ikwega
mseki b,mseki a
kilagana,kilagano
isangilwa,sangilwa
kipala,kizapala
materevati,materevasi
mtaa wa tati,mtaa wa tatu
luhangija,buhangija
mwabalizi,mwamalizi
mughumo,mughamo
nyakatera,nyakagera
mkuranga a,mkuranga b
mkuranga,mkuranga b
mbalamo,mkalamo
madamba,matamba
namkaba,namkamba
bukunda,bukundi
igunguhi,gungui
mwakiduta a,mwakiduta b
mwakiduta,mwakiduta b
mnyongo,mnyonge
myonge,mnyonge
ngabena,lingabena
dulea,dule
sayaka mashariki,sayaka magharibi
kazegunga a,kazegunga b
kazegunga,kazegunga b
kazigunga b,kazegunga b
antakae,antakaye
kamanengo,kamango
luponde,lubonde
marua a,marua b
nyasambi,nyasamba
tambalale,tambarale
usende,lusende
mwansonsela,mwansosela
imalavupna,imalabupina
mwntemi,mwantemi
kishiri b,kishiri a
butengo,butungo
mtunduruni,mitunduruni
getaghul,getagu
izengwe,izengwa
monele a,monele
monele b,monele
ngorotwa a,ngorotwa b
kavumu a,kavumu b
kibamonche,kibomonche
ikugha mash,ikugha magh
ushetu no 2,ushetu no 1
chaga b,chaga a
ulisa,lisa
m/magharbi,m/magharibi
bigabilo b,bigabilo a
lengitima,lengipima
miwangani a,miwangani b
miwangani,miwangani b
kiingili,kidingili
kidingiri,kidingili
nyarugusa,nyarugusu
nyaragusu,nyarugusu
lungongole a,lungongole b
chumvu kati,chomvu kati
nyanyanjo,nyanyango
nyanyange,nyanyango
mtosheni,mosheni
tosheni,mosheni
mishegiwela,mishagiwela
mumikoni,mikoni
nkwamba,kwamba
bombo,bomo
nyamalebe c,nyamalebe a
komtongo,komtonga
kilimo a,kilimo b
lovilikuny,lovilukuny
kyaitoko,kyaitoke
katonga b,katonga a
katunga a,katonga a
malingo,maringo
chipaka b,chipaka a
oysterbey b,oysterbey a
lugese a,lugese
mbika b,mbika a
shilanga,silanga
shianga,silanga
tungulu,ntungulu
nhungulu,ntungulu
nkunga b,nkunga a
bunamhala a,bunamhala b
bunamara b,bunamhala b
mwang`halanga,mwang'alanga
masakeni,masaweni
mwereni,mrereni
mberereni,mrereni
kumtukula a,kumtukula
kumtukula d,kumtukula
kumutukula,kumtukula
chalinze b,chalinze a
masakwi,masaki
lukungu,lukunga
lukuga,lukunga
lulunga,lukunga
lembeli a,lembeli b
kitkata,kitakata
mpungula,mpangula
maganjwa b,maganjwa a
nyamguluma b,nyamguluma a
leshobale,leshabale
mlingi,mlingine
lugeye a,lugeye b
lugeye,lugeye b
mnjengoni,mjengoni
kahunga b,kahunga a
utende b,utende a
kitereni,kirereni
kibungoni,kibungo
hamia a,hamia b
mwalufinya,mwalufunya
miogoni,mihogoni
kayogoro,kayogolo
unguu rd,unguu road
m/kusini,p/kusini
iporoto,uporoto
nyesato,nyesato b
mwamshima,mwamashimba
sharaman,sharama
kivulunge,kihulunge
kiseki baha,kiseki bar
maghushi,mahushi
mabushi,mahushi
galangala,galanga
sokomoko,somoko
karafiya,karafia
mantare a,mantare b
nyamisagusa b,nyamisagusa a
kosaa,kosata
bugema,bugematu
kalemela b,kalemela a
kinihhe,kinihe
nangero b,nangero
itula b,itula a
itala a,itula a
mahutanga b,mahutanga a
mhongola,msongola
mawemairo b,mawemairo a
nechiungo,nachiungo
madale kati,madala kati
lyasa b,lyasa a
mwamarula,mwamalula
mlugando,mrugando
lawo kati,laso kati
itunduwete,kitunduwete
udongo magharibi,udongo mashariki
minyanga,inyanga
kalanzi,kilanzi
kifulufuli,kifulifuli
nyaguso,nyamaguso
minsukumilo a,minsukumilo
hungwe a,hungwe b
kipinga b,kipinga
d/magaribi,d/magharibi
msamala,sambala
isingu b,isingu a
namakala,kinamakala
mwembechai a,mwembechai b
mkangwa,mkwanga
mgwanga,mkwanga
murugando,rugando
kituri b,kituri c
kituri a,kituri c
mrembule,mlembule
ulalo,rulalo
mbuyuni d,mbuyuni c
kasenya,kasenda
lulanga,lulanda
nyamitembe,nyametembe
mwamagile,mwamagili
mamagili,mwamagili
nyasura b,nyasura a
nyasura d,nyasura a
nyasura c,nyasura a
chabwojo a,chabwojo b
n/center,l/center
s/center,l/center
k.center,l/center
lugunano a,lugunano b
michengani a,michenga a
buhilima b,buhilima a
kwebua a,kwebua
mngwangwaje,mgwangwaje
mkwakwa,mkwakwani
mkwakwani b,mkwakwani
engorika,ngorika
ngwanghalanga a,mwanghalanga a
mwanhalanga,mwanghalanga a
mwanghalanga b,mwanghalanga a
nyamande b,nyamande a
nyamande,nyamande a
mawala b,mawala a
mkomola,komola
bwelu a,bwelu b
isimikine,isimike
mabaluni,mabaloni
mihekela b,mihekela a
mihekela c,mihekela a
usarangei,msarangei
karango b,karango a
mchotike b,mchotike a
mtunda b,mtunda a
mbinglwa,mbingilwa
kiwe,kikwe
mubilamvu,mbilamvu
mwanubila,mwanubi
mwang'honi,mwang'honoli
kifumbu,kifumbo
malinga,malunga
vikuruti,kuruti
izimbya 'b',izimbya 'a'
izimbya,izimbya 'a'
mtakolola,mtokolola
nzije b,nzije a
samuda,busamuda
isigitiro,isigitira
ngembambili c,ngembambili b
ngembambili a,ngembambili b
kiranjeranje b,kiranjeranje a
imi,simi
mpera c,mpera b
manda,msanda
manoshi,manushi
mwatambuga,mwatambuka
pumoni a,pumoni b
makwei,mawei
muri,uri
musunu,murusunu
lemanyata,emanyata
kabwela b,kabwela
kabwela a,kabwela
mkole b,mkole a
bituntu 'a',bituntu
ntebela,tembela
kirundo b,kirundo a
karundo a,kirundo a
kirundo c,kirundo a
kirundo d,kirundo a
luwe,uluwe
kidugara,kiduga
lulembela b,lulembela
lulembela a,lulembela
ilandacho,ilandachi
kanioga a,kanioga b
bukulu b,bukulu a
mlandizi b,mlandizi a
mchimu,machimu
mandega,mandenga
mtewere,mtewele
miluzi,mwiluzi
kashishi mashariki,kashishi magharibi
chihalala,chilala
bea,beda
nyamalango b,nyamalango a
uwanja wa ndege b,uwanja wa ndege a
ariahati,arahati
mwaike,mbwaike
mbuga a,mbuga b
kikungo,kikongo
kanyalakata,kanyala kati
nyamigombelo a,nyamigombelo b
nyakaiga b,nyakaiga a
kasomba,kasoma
mkitwe,kitwe
kibg`ombe,king`ombe
nkoatilya,nkoatila
nkuatila,nkoatila
uwa,uwau
nyanhundi,nyanhundu
nyahnundu,nyanhundu
mfongoni,imongoni
kimongoni,imongoni
kenondo,kenonzo
kihagara kati,kihara kati
simbo 2,simbo 3
simbo 1,simbo 3
kazaroho magharibi,kazaroho mashariki
maseda,masabeda
isengo b,isengo a
mkusii,mkusi
kilanga wageni,kilangawageni
knyabwami,kinyabwami
pachatatu,pacha tatu
moombo,mombo
station b,station a
kidulya,kidula
rusohoko b,rusohoko a
mtapenda a kati,mtapenda b kati
kidudumu,kidudumo
kiwanga,kiwaga
ngepesi,ndepesi
kisanga a',kisanga 'a'
olovolosi,olovolusi
mwang'huni,mwang'honi
bondeni b,bondeni a
mugitu.a.,mogitu.a.
mogitu.b.,mogitu.a.
isakalilo b,isakalilo c
isakalelo c,isakalilo c
isakalilo a,isakalilo c
kisesa b,kisesa a
bukarangi,bukalangi
mianzini b,mianzini a
kigaga b,kigaga a
kiga a,kigaga a
tita,tiita
muhenda a,muhenda c
muhenda,muhenda c
muhenda b,muhenda c
ifantamie,ufantamie
lulenge,lukenge
ighumu,ighuu
kanyinya c,kanyinya
kanyinya d,kanyinya
kanyinya a,kanyinya
kanyinya b,kanyinya
itembwen9,itembweni
utaturu,utaturuni
kiziru,kiziru 'a'
solwa,sola
misasi b,misasi c
misasi a,misasi c
misasi,misasi c
imalamakoye b,imalamakoye c
imalamakoye d,imalamakoye c
shimo,shimbo
shimbo b,shimbo
nawav a,nawa a
ivangwa,kivanga
kiangab,kivanga
mkulu c,mkulu a
mkulu d,mkulu a
mkulu b,mkulu a
mayoka b,mayoka c
mayoka,mayoka c
mwasamba a,mwasamba
msuka b,msuka a
nkui,nkuhi
nkuatilya,nkoatilya
madirana b,madirana a
mapalamba a,mapalamba b
mapalamba,mapalamba b
kijumbula,kijumbura
magoeko a,magoeko
magoeko b,magoeko
magoeke,magoeko
magoeko d,magoeko
losrway,rosrway
mayukia,mayukila
nyitigasto,nyatigasto
momoragoro,momorogoro
mangaula,mikangaula
mikangaule,mikangaula
kisagarani b,kisagarani
bushoma,bushoma a
bushoma b,bushoma a
nyasho a,nyasho b
boga,bwoga
msangeni kati,mengeni kati
manguwa,mangwa
luegu b,luegu a
kzangaze,kizangaze
ihanda 2,ihanda 1
tomasi,thomasi
nyamsoma b,nyamsoma a
kibwigwa,kibwigwa a
kibwigwa b,kibwigwa a
kashelo,kashelo a
igerikilo,igerukilo
igombe a,igombe b
kilovoko,kilovo
kisale a,kisale
salimani,salimwani
kambia,kambiala
kalangakero b,kalangakero a
mambuyu,mamburu
kageye,kagee
murugarama,rugarama
rurama,rugarama
mgera b,mgera a
mgara a,mgera a
bugomba b,bugomba
sanawarii,sanawari
mikocheni b,mikocheni a
ushirika b,ushirika a
kaatoma,katoma
kitaa,kitala
kikomo,kikomero
kikomelo,kikomero
kagomelo,kagomelo a
