,total_wells_within_5_mils,close_functional_wells,close_non_functional_wells,close_functional_needs_repair_wells,close_unknown_wells,close_known_wells
133,35,13,16,0,6,29
134,58,20,26,0,12,46
135,104,86,3,3,12,92
136,10,5,4,0,1,9
137,7,2,4,0,1,6
138,40,24,3,0,13,27
139,47,19,14,4,10,37
140,268,17,201,2,48,220
141,50,26,8,5,11,39
142,4,1,2,0,1,3
143,127,41,47,15,24,103
144,60,20,21,5,14,46
145,381,219,83,0,79,302
146,43,17,14,1,11,32
147,73,43,14,0,16,57
148,70,33,28,0,9,61
149,188,62,59,24,43,145
150,18,10,3,0,5,13
151,50,20,6,16,8,42
152,33,12,17,0,4,29
153,56,20,25,2,9,47
154,145,63,29,21,32,113
155,23,3,14,0,6,17
156,68,46,8,4,10,58
157,54,19,16,4,15,39
158,116,71,16,3,26,90
159,14,2,10,1,1,13
160,123,75,24,0,24,99
161,16,5,8,2,1,15
162,126,66,24,12,24,102
163,148,58,32,28,30,118
164,77,17,44,0,16,61
165,15,4,9,0,2,13
166,30,16,7,2,5,25
167,3,1,1,0,1,2
168,32,21,9,0,2,30
169,33,9,8,13,3,30
170,93,41,32,4,16,77
171,41,13,13,6,9,32
172,67,45,7,0,15,52
173,353,156,122,6,69,284
174,16,2,9,1,4,12
175,49,27,11,2,9,40
176,22,17,5,0,0,22
177,32,21,9,0,2,30
178,39,7,22,2,8,31
179,144,70,37,0,37,107
180,64,34,16,0,14,50
181,69,44,12,1,12,57
182,179,127,15,2,35,144
183,16,5,8,2,1,15
184,32,16,2,6,8,24
185,68,19,32,1,16,52
186,41,15,13,5,8,33
187,12,6,3,1,2,10
188,86,34,28,6,18,68
189,78,35,5,16,22,56
190,82,32,33,1,16,66
191,55,35,10,0,10,45
192,38,23,9,0,6,32
193,230,157,31,0,42,188
194,200,143,9,10,38,162
195,23,11,8,0,4,19
196,150,60,36,19,35,115
197,227,61,123,6,37,190
198,91,29,46,0,16,75
199,22,14,3,2,3,19
200,41,9,14,9,9,32
201,84,38,30,5,11,73
202,34,12,13,0,9,25
203,88,51,20,0,17,71
204,107,39,38,7,23,84
205,145,58,50,15,22,123
206,113,34,48,7,24,89
207,449,238,108,14,89,360
208,22,5,10,0,7,15
209,71,59,3,0,9,62
210,94,47,15,9,23,71
211,269,48,163,4,54,215
212,74,6,48,5,15,59
213,47,11,27,1,8,39
214,55,21,17,10,7,48
215,186,14,137,0,35,151
216,182,97,46,6,33,149
217,105,44,42,1,18,87
218,369,192,95,20,62,307
219,140,53,39,13,35,105
220,77,22,28,15,12,65
221,189,78,44,21,46,143
222,313,130,114,10,59,254
223,63,34,4,13,12,51
224,31,16,6,1,8,23
225,27,2,20,0,5,22
226,37,16,12,0,9,28
227,38,21,12,1,4,34
228,57,20,16,6,15,42
229,7,4,1,0,2,5
230,48,19,14,1,14,34
231,170,13,94,29,34,136
232,87,23,36,17,11,76
233,44,17,15,4,8,36
234,58,29,13,0,16,42
235,123,65,46,0,12,111
236,44,21,14,0,9,35
237,94,31,34,13,16,78
238,68,2,41,18,7,61
239,14,3,6,1,4,10
240,54,16,19,7,12,42
241,68,35,23,0,10,58
242,38,2,22,0,14,24
243,52,22,20,0,10,42
244,35,26,2,0,7,28
245,155,63,50,16,26,129
246,50,35,4,3,8,42
247,74,44,16,0,14,60
248,532,276,92,51,113,419
249,35,15,13,0,7,28
250,34,15,12,2,5,29
251,21,7,10,0,4,17
252,474,135,198,38,103,371
253,46,18,20,0,8,38
254,69,54,1,0,14,55
255,60,24,25,0,11,49
256,46,18,20,0,8,38
257,33,8,16,2,7,26
258,66,36,15,0,15,51
259,64,19,32,1,12,52
260,39,15,16,5,3,36
261,49,19,24,0,6,43
262,39,10,16,0,13,26
263,71,30,26,1,14,57
264,9,4,2,0,3,6
265,447,256,83,15,93,354
266,78,27,13,22,16,62
267,15,7,4,0,4,11
268,139,82,42,0,15,124
269,34,8,21,0,5,29
270,81,46,17,2,16,65
271,47,9,29,0,9,38
272,68,24,30,1,13,55
273,83,33,31,0,19,64
274,51,8,22,7,14,37
275,40,11,22,1,6,34
276,127,74,22,3,28,99
277,45,25,12,0,8,37
278,247,102,86,16,43,204
279,43,9,14,8,12,31
280,73,28,7,22,16,57
281,161,84,35,7,35,126
282,31,19,4,4,4,27
283,654,377,150,19,108,546
284,15,2,2,9,2,13
285,46,18,20,0,8,38
286,400,192,110,14,84,316
287,40,31,3,2,4,36
288,32,11,14,0,7,25
289,48,27,8,4,9,39
290,72,39,12,8,13,59
291,30,18,5,0,7,23
292,224,167,18,2,37,187
293,79,61,1,0,17,62
294,489,233,100,49,107,382
295,30,9,13,4,4,26
296,41,1,33,0,7,34
297,32,16,3,5,8,24
298,10,1,8,1,0,10
299,18,7,8,0,3,15
300,106,39,29,14,24,82
301,46,18,20,0,8,38
302,39,19,11,0,9,30
303,214,75,92,2,45,169
304,39,20,9,3,7,32
305,3,3,0,0,0,3
306,46,18,20,0,8,38
307,217,80,14,81,42,175
308,9,5,0,4,0,9
309,95,58,14,4,19,76
310,63,25,27,2,9,54
311,55,27,17,1,10,45
312,273,14,206,0,53,220
313,95,30,38,9,18,77
314,52,9,30,0,13,39
315,85,43,32,2,8,77
316,8,1,5,1,1,7
317,21,9,10,1,1,20
318,120,56,34,0,30,90
319,124,32,48,15,29,95
320,110,54,27,6,23,87
321,32,21,9,0,2,30
322,40,27,7,0,6,34
323,46,18,20,0,8,38
324,15,6,3,4,2,13
325,15,4,10,0,1,14
326,46,18,20,0,8,38
327,264,55,57,96,56,208
328,23,12,4,1,6,17
329,14,4,3,1,6,8
330,14,5,4,0,5,9
331,171,85,34,21,31,140
332,94,54,26,1,13,81
333,48,18,18,1,11,37
334,84,44,21,3,16,68
335,6,3,1,0,2,4
336,8,1,7,0,0,8
337,48,38,1,0,9,39
338,72,31,22,0,19,53
339,4,0,3,0,1,3
340,5,4,0,0,1,4
341,35,26,2,0,7,28
342,37,16,12,0,9,28
343,673,392,144,17,120,553
344,96,53,19,1,23,73
345,435,140,156,43,96,339
346,32,21,9,0,2,30
347,126,90,4,5,27,99
348,88,24,36,3,25,63
349,44,9,28,4,3,41
350,31,21,6,0,4,27
351,76,38,24,0,14,62
352,82,25,25,14,18,64
353,96,50,13,17,16,80
354,75,31,32,2,10,65
355,33,12,3,14,4,29
356,293,146,86,12,49,244
357,17,5,6,2,4,13
358,98,40,28,10,20,78
359,14,8,2,1,3,11
360,36,24,6,0,6,30
361,2,0,1,0,1,1
362,97,65,11,2,19,78
363,38,19,9,1,9,29
364,129,40,33,23,33,96
365,129,66,12,23,28,101
366,470,216,147,14,93,377
367,104,29,55,0,20,84
368,38,9,19,2,8,30
369,342,143,126,6,67,275
370,46,18,20,0,8,38
371,33,25,3,1,4,29
372,29,15,8,0,6,23
373,14,5,7,0,2,12
374,177,86,31,26,34,143
375,22,1,16,0,5,17
376,16,8,2,1,5,11
377,32,6,14,5,7,25
378,33,3,6,16,8,25
379,29,12,9,0,8,21
380,76,47,12,2,15,61
381,434,212,106,29,87,347
382,94,73,3,0,18,76
383,124,61,14,18,31,93
384,125,73,21,3,28,97
385,47,16,19,2,10,37
386,5,0,4,0,1,4
387,21,3,14,0,4,17
388,53,32,5,0,16,37
389,62,41,2,2,17,45
390,48,26,14,1,7,41
391,14,4,6,2,2,12
392,168,128,7,6,27,141
393,410,234,93,0,83,327
394,373,113,138,45,77,296
395,80,39,15,11,15,65
396,61,43,7,0,11,50
397,62,16,27,9,10,52
398,16,5,5,1,5,11
399,52,29,8,4,11,41
400,15,0,10,0,5,10
401,60,30,13,5,12,48
402,82,21,34,7,20,62
403,178,67,75,3,33,145
404,43,26,9,0,8,35
405,107,55,31,2,19,88
406,33,18,5,3,7,26
407,85,46,20,0,19,66
408,26,12,9,0,5,21
409,19,15,1,1,2,17
410,31,4,24,0,3,28
411,29,7,14,3,5,24
412,28,12,11,1,4,24
413,40,19,16,1,4,36
414,149,65,30,20,34,115
415,110,73,23,0,14,96
416,24,5,14,0,5,19
417,383,218,86,0,79,304
418,86,42,22,1,21,65
419,148,70,49,5,24,124
420,246,177,21,5,43,203
421,274,196,14,3,61,213
422,27,4,16,0,7,20
423,191,71,50,29,41,150
424,23,1,13,1,8,15
425,284,112,99,21,52,232
426,37,30,2,1,4,33
427,102,37,23,20,22,80
428,248,119,69,0,60,188
429,42,18,18,0,6,36
430,369,219,65,6,79,290
431,63,31,20,0,12,51
432,108,103,0,5,0,108
433,32,21,9,0,2,30
434,179,110,6,20,43,136
435,122,66,29,4,23,99
436,683,378,166,24,115,568
437,128,59,44,4,21,107
438,36,5,23,0,8,28
439,59,19,17,8,15,44
440,14,0,11,0,3,11
441,36,6,28,0,2,34
442,196,77,36,33,50,146
443,32,21,3,0,8,24
444,6,3,1,0,2,4
445,15,7,3,3,2,13
446,9,7,0,0,2,7
447,80,48,9,3,20,60
448,35,13,4,9,9,26
449,210,144,51,2,13,197
450,44,1,33,0,10,34
451,37,14,13,3,7,30
452,155,119,9,3,24,131
453,337,190,73,17,57,280
454,15,11,0,1,3,12
455,5,2,0,0,3,2
456,358,164,119,6,69,289
457,181,126,7,4,44,137
458,42,8,18,7,9,33
459,91,38,34,1,18,73
460,131,60,27,16,28,103
461,10,3,4,0,3,7
462,104,35,40,10,19,85
463,54,17,18,3,16,38
464,261,55,142,7,57,204
465,12,8,2,1,1,11
466,21,17,2,0,2,19
467,102,66,15,3,18,84
468,6,1,3,0,2,4
469,55,16,26,0,13,42
470,102,32,50,0,20,82
471,88,20,44,10,14,74
472,24,10,8,0,6,18
473,77,31,27,2,17,60
474,45,15,14,6,10,35
475,62,34,18,0,10,52
476,35,15,10,0,10,25
477,632,365,148,17,102,530
478,254,69,131,7,47,207
479,4,1,2,0,1,3
480,21,12,2,4,3,18
481,59,31,16,1,11,48
482,15,2,2,9,2,13
483,610,360,132,15,103,507
484,15,12,0,0,3,12
485,77,39,25,1,12,65
486,55,33,6,0,16,39
487,72,16,40,2,14,58
488,42,30,0,0,12,30
489,14,0,11,0,3,11
490,88,46,22,4,16,72
491,83,46,11,6,20,63
492,63,20,20,7,16,47
493,21,7,10,0,4,17
494,24,7,9,2,6,18
495,37,15,13,1,8,29
496,152,62,37,18,35,117
497,53,38,5,0,10,43
498,63,4,50,0,9,54
499,185,100,43,0,42,143
500,83,39,25,2,17,66
501,18,5,4,3,6,12
502,27,9,10,1,7,20
503,70,35,23,1,11,59
504,448,140,185,24,99,349
505,35,9,14,4,8,27
506,27,3,20,1,3,24
507,244,121,73,10,40,204
508,15,6,6,0,3,12
509,619,355,143,17,104,515
510,35,3,23,5,4,31
511,124,44,31,20,29,95
512,159,55,51,24,29,130
513,97,74,7,1,15,82
514,44,18,18,0,8,36
515,41,17,16,0,8,33
516,70,39,15,3,13,57
517,441,240,99,12,90,351
518,89,33,31,2,23,66
519,196,107,30,20,39,157
520,451,311,42,1,97,354
521,56,11,13,24,8,48
522,17,15,0,0,2,15
523,15,0,10,0,5,10
524,140,55,47,14,24,116
525,42,19,17,0,6,36
526,133,54,44,8,27,106
527,105,74,12,11,8,97
528,16,10,4,0,2,14
529,23,13,5,0,5,18
530,86,34,33,0,19,67
531,58,30,14,4,10,48
532,204,97,61,1,45,159
533,5,2,3,0,0,5
534,27,10,12,0,5,22
535,3,1,1,0,1,2
536,26,18,0,0,8,18
537,91,29,36,10,16,75
538,123,58,26,16,23,100
539,76,5,53,1,17,59
540,157,92,27,1,37,120
541,120,58,23,16,23,97
542,199,87,61,15,36,163
543,56,39,3,0,14,42
544,123,91,6,0,26,97
545,459,140,194,30,95,364
546,49,29,12,8,0,49
547,13,0,11,1,1,12
548,29,12,7,7,3,26
549,127,75,21,3,28,99
550,61,17,33,1,10,51
551,37,12,16,3,6,31
552,53,35,10,0,8,45
553,151,115,9,3,24,127
554,30,9,16,0,5,25
555,12,2,5,0,5,7
556,99,33,26,21,19,80
557,54,30,4,3,17,37
558,15,6,5,1,3,12
559,68,46,5,2,15,53
560,14,6,2,3,3,11
561,38,11,20,0,7,31
562,94,51,25,4,14,80
563,423,129,177,30,87,336
564,27,6,19,0,2,25
565,28,9,12,0,7,21
566,5,5,0,0,0,5
567,420,237,103,0,80,340
568,172,119,38,3,12,160
569,64,25,29,1,9,55
570,115,32,33,27,23,92
571,108,45,36,1,26,82
572,69,41,7,8,13,56
573,295,80,34,132,49,246
574,177,101,31,0,45,132
575,28,15,9,0,4,24
576,19,6,10,0,3,16
577,63,46,5,1,11,52
578,36,11,18,0,7,29
579,101,30,51,0,20,81
580,57,12,31,1,13,44
581,29,17,6,0,6,23
582,36,16,12,0,8,28
583,48,16,17,6,9,39
584,18,8,6,0,4,14
585,97,47,20,4,26,71
586,20,6,9,0,5,15
587,123,55,40,10,18,105
588,40,24,5,2,9,31
589,347,188,88,15,56,291
590,63,18,27,7,11,52
591,166,110,25,1,30,136
592,21,5,9,0,7,14
593,75,9,42,5,19,56
594,37,5,19,5,8,29
595,47,24,13,1,9,38
596,207,51,40,79,37,170
597,50,32,8,2,8,42
598,189,136,7,4,42,147
599,67,33,25,0,9,58
600,1304,527,181,337,259,1045
601,2,1,0,0,1,1
602,50,14,16,10,10,40
603,64,40,11,1,12,52
604,64,18,25,6,15,49
605,6,3,3,0,0,6
606,7,2,4,0,1,6
607,42,27,5,2,8,34
608,54,35,8,0,11,43
609,73,39,18,4,12,61
610,81,38,5,15,23,58
611,85,35,36,0,14,71
612,14,7,5,0,2,12
613,66,35,17,0,14,52
614,27,15,5,0,7,20
615,37,8,19,0,10,27
616,26,3,19,1,3,23
617,14,0,11,0,3,11
618,195,112,26,20,37,158
619,29,12,12,0,5,24
620,89,63,15,1,10,79
621,83,58,2,2,21,62
622,44,35,2,0,7,37
623,114,65,16,7,26,88
624,80,41,27,0,12,68
625,23,4,14,1,4,19
626,20,0,11,1,8,12
627,135,46,42,22,25,110
628,142,69,37,0,36,106
629,127,60,33,0,34,93
630,14,7,3,0,4,10
631,71,28,18,15,10,61
632,6,1,4,1,0,6
633,36,5,26,0,5,31
634,23,14,2,0,7,16
635,424,103,180,45,96,328
636,69,2,55,0,12,57
637,38,19,12,0,7,31
638,11,4,2,0,5,6
639,479,233,95,50,101,378
640,82,35,17,14,16,66
641,33,25,1,0,7,26
642,432,209,106,31,86,346
643,15,3,5,3,4,11
644,257,150,55,0,52,205
645,131,43,34,29,25,106
646,189,128,17,0,44,145
647,358,173,116,1,68,290
648,54,23,19,0,12,42
649,42,12,20,2,8,34
650,194,76,34,34,50,144
651,159,54,44,33,28,131
652,10,6,1,2,1,9
653,81,40,9,19,13,68
654,88,37,8,24,19,69
655,28,2,12,7,7,21
656,27,7,15,0,5,22
657,123,45,39,14,25,98
658,41,6,25,4,6,35
659,32,21,9,0,2,30
660,21,3,15,0,3,18
661,157,79,20,27,31,126
662,13,9,1,0,3,10
663,32,16,11,0,5,27
664,298,121,115,7,55,243
665,132,89,18,1,24,108
666,42,14,15,1,12,30
667,78,45,10,3,20,58
668,34,2,24,0,8,26
669,57,16,31,0,10,47
670,46,19,16,2,9,37
671,1,0,0,0,1,0
672,75,38,22,1,14,61
673,56,34,14,0,8,48
674,32,18,8,0,6,26
675,104,49,35,4,16,88
676,157,118,4,2,33,124
677,333,139,122,10,62,271
678,46,18,20,0,8,38
679,16,8,4,0,4,12
680,119,41,49,10,19,100
681,10,1,8,0,1,9
682,67,46,6,0,15,52
683,146,62,54,1,29,117
684,132,46,28,26,32,100
685,17,3,12,0,2,15
686,55,23,21,1,10,45
687,24,9,7,4,4,20
688,82,24,40,3,15,67
689,48,15,26,4,3,45
690,42,19,13,2,8,34
691,80,33,22,11,14,66
692,93,39,24,13,17,76
693,34,16,8,1,9,25
694,86,24,23,21,18,68
695,134,73,23,2,36,98
696,40,12,19,0,9,31
697,32,21,9,0,2,30
698,22,5,15,0,2,20
699,141,104,9,0,28,113
700,49,22,15,0,12,37
701,51,18,17,4,12,39
702,253,138,73,0,42,211
703,365,201,75,15,74,291
704,99,56,12,14,17,82
705,124,73,9,14,28,96
706,43,12,20,0,11,32
707,54,17,22,4,11,43
708,78,52,6,2,18,60
709,83,42,21,8,12,71
710,23,11,10,0,2,21
711,73,41,18,0,14,59
712,38,23,5,2,8,30
713,67,9,50,0,8,59
714,46,8,30,0,8,38
715,185,43,100,11,31,154
716,449,204,103,48,94,355
717,138,50,50,14,24,114
718,23,7,12,0,4,19
719,497,237,122,32,106,391
720,32,21,9,0,2,30
721,225,74,85,15,51,174
722,16,9,4,0,3,13
723,37,15,14,0,8,29
724,83,47,18,3,15,68
725,71,39,15,1,16,55
726,520,358,55,1,106,414
727,400,193,99,29,79,321
728,5,5,0,0,0,5
729,206,102,33,33,38,168
730,13,3,7,0,3,10
731,47,22,15,2,8,39
732,92,48,7,17,20,72
733,32,21,9,0,2,30
734,46,29,2,10,5,41
735,25,12,8,0,5,20
736,21,3,8,0,10,11
737,26,13,7,1,5,21
738,15,9,1,5,0,15
739,8,2,2,3,1,7
740,43,18,15,2,8,35
741,51,32,9,0,10,41
742,155,66,33,18,38,117
743,71,54,5,4,8,63
744,42,5,28,0,9,33
745,26,3,18,1,4,22
746,153,66,47,9,31,122
747,164,127,7,0,30,134
748,83,53,13,9,8,75
749,486,248,117,19,102,384
750,155,80,44,1,30,125
751,36,7,18,0,11,25
752,95,55,16,1,23,72
753,46,18,20,0,8,38
754,25,14,6,0,5,20
755,32,21,9,0,2,30
756,29,5,13,7,4,25
757,21,9,5,4,3,18
758,41,5,26,0,10,31
759,38,19,11,0,8,30
760,105,22,66,0,17,88
761,622,361,143,17,101,521
762,35,19,9,0,7,28
763,24,4,15,0,5,19
764,72,27,8,24,13,59
765,171,113,27,1,30,141
766,38,11,21,1,5,33
767,75,5,53,1,16,59
768,66,38,14,0,14,52
769,29,9,8,9,3,26
770,54,15,12,21,6,48
771,146,57,32,26,31,115
772,323,139,110,6,68,255
773,69,32,24,2,11,58
774,30,14,10,3,3,27
775,152,59,39,20,34,118
776,42,27,7,0,8,34
777,33,13,16,0,4,29
778,78,13,41,7,17,61
779,15,4,8,1,2,13
780,12,3,4,0,5,7
781,63,38,5,7,13,50
782,12,8,0,0,4,8
783,414,195,112,20,87,327
784,3,2,0,0,1,2
785,70,31,26,1,12,58
786,25,12,5,2,6,19
787,52,22,19,1,10,42
788,23,8,13,0,2,21
789,68,15,41,1,11,57
790,396,184,135,7,70,326
791,11,8,3,0,0,11
792,172,87,34,21,30,142
793,58,36,14,0,8,50
794,224,70,107,11,36,188
795,112,50,15,23,24,88
796,57,28,17,1,11,46
797,190,102,57,0,31,159
798,32,21,9,0,2,30
799,78,44,16,2,16,62
800,55,11,38,0,6,49
801,4,0,4,0,0,4
802,49,30,10,0,9,40
803,12,2,7,0,3,9
804,70,28,26,1,15,55
805,72,6,49,1,16,56
806,469,217,146,14,92,377
807,69,35,11,7,16,53
808,25,4,19,0,2,23
809,81,12,53,0,16,65
810,15,1,11,0,3,12
811,53,0,33,3,17,36
812,34,9,20,1,4,30
813,33,22,7,0,4,29
814,46,16,15,3,12,34
815,39,9,23,4,3,36
816,17,9,3,1,4,13
817,85,41,25,1,18,67
818,22,7,10,0,5,17
819,29,3,22,2,2,27
820,170,125,19,0,26,144
821,8,0,6,0,2,6
822,54,17,18,7,12,42
823,204,58,109,5,32,172
824,110,37,43,11,19,91
825,54,41,3,2,8,46
826,55,33,14,2,6,49
827,59,17,34,1,7,52
828,3,0,3,0,0,3
829,70,22,35,2,11,59
830,268,200,15,0,53,215
831,28,14,7,0,7,21
832,126,31,48,16,31,95
833,31,11,6,7,7,24
834,440,202,139,12,87,353
835,508,274,86,43,105,403
836,21,10,9,0,2,19
837,204,113,29,23,39,165
838,1267,507,171,336,253,1014
839,32,21,9,0,2,30
840,147,36,76,1,34,113
841,8,7,1,0,0,8
842,19,12,1,2,4,15
843,35,22,6,0,7,28
844,50,35,10,0,5,45
845,73,40,10,5,18,55
846,31,18,10,0,3,28
847,79,30,22,12,15,64
848,237,100,15,80,42,195
849,56,26,12,0,18,38
850,63,19,32,1,11,52
851,60,30,14,4,12,48
852,13,5,7,0,1,12
853,125,29,41,30,25,100
854,12,2,9,0,1,11
855,11,2,6,0,3,8
856,51,19,18,0,14,37
857,301,184,50,0,67,234
858,55,40,8,0,7,48
859,103,44,19,17,23,80
860,161,28,102,1,30,131
861,160,54,80,0,26,134
862,46,21,13,3,9,37
863,88,25,38,10,15,73
864,21,11,6,0,4,17
865,1,0,1,0,0,1
866,72,33,15,14,10,62
867,16,6,9,0,1,15
868,180,73,40,21,46,134
869,130,77,28,0,25,105
870,171,106,44,13,8,163
871,583,403,54,1,125,458
872,52,19,24,0,9,43
873,77,9,53,1,14,63
874,44,36,2,0,6,38
875,22,9,4,2,7,15
876,188,121,25,9,33,155
877,186,63,83,0,40,146
878,132,46,27,27,32,100
879,160,54,50,24,32,128
880,155,79,45,1,30,125
881,537,339,72,7,119,418
882,227,174,6,2,45,182
883,76,39,18,8,11,65
884,179,103,31,0,45,134
885,27,14,6,0,7,20
886,79,40,17,2,20,59
887,8,2,1,3,2,6
888,75,50,7,1,17,58
889,68,5,46,4,13,55
890,84,22,43,4,15,69
891,104,75,12,9,8,96
892,59,10,35,1,13,46
893,6,2,3,0,1,5
894,26,3,17,0,6,20
895,5,2,2,0,1,4
896,200,82,35,34,49,151
897,184,101,35,1,47,137
898,551,392,41,1,117,434
899,224,136,39,6,43,181
900,16,9,4,0,3,13
901,22,3,12,3,4,18
902,36,17,9,0,10,26
903,123,60,31,5,27,96
904,171,69,37,21,44,127
905,99,53,22,1,23,76
906,56,27,6,4,19,37
907,172,69,51,7,45,127
908,13,5,5,1,2,11
909,3,1,2,0,0,3
910,89,32,36,2,19,70
911,32,21,9,0,2,30
912,159,86,22,22,29,130
913,451,243,106,14,88,363
914,37,9,21,0,7,30
915,32,11,9,5,7,25
916,58,11,31,0,16,42
917,84,31,26,9,18,66
918,25,6,16,0,3,22
919,88,32,37,3,16,72
920,35,14,12,0,9,26
921,184,118,51,1,14,170
922,108,53,31,5,19,89
923,69,14,39,0,16,53
924,204,97,61,1,45,159
925,42,33,2,0,7,35
926,28,12,10,0,6,22
927,17,9,2,1,5,12
928,49,24,3,14,8,41
929,162,55,78,0,29,133
930,84,41,17,4,22,62
931,33,16,10,0,7,26
932,112,40,49,0,23,89
933,106,42,33,10,21,85
934,60,45,5,3,7,53
935,157,10,91,25,31,126
936,178,100,20,17,41,137
937,15,4,6,0,5,10
938,111,87,3,0,21,90
939,32,21,9,0,2,30
940,93,21,49,3,20,73
941,41,12,18,0,11,30
942,477,132,199,38,108,369
943,52,32,12,8,0,52
944,41,17,16,0,8,33
945,87,56,10,0,21,66
946,25,12,9,0,4,21
947,258,197,13,0,48,210
948,16,2,9,1,4,12
949,48,11,24,0,13,35
950,129,43,49,12,25,104
951,53,38,4,0,11,42
952,87,26,49,0,12,75
953,103,67,1,13,22,81
954,23,13,4,1,5,18
955,90,44,29,1,16,74
956,51,26,20,0,5,46
957,66,37,21,0,8,58
958,81,38,24,2,17,64
959,68,32,14,0,22,46
960,32,21,9,0,2,30
961,79,52,17,0,10,69
962,18,14,1,0,3,15
963,47,29,11,0,7,40
964,74,27,17,7,23,51
965,46,18,20,0,8,38
966,12,7,2,0,3,9
967,41,27,3,0,11,30
968,39,9,16,5,9,30
969,179,101,33,0,45,134
970,55,19,14,5,17,38
971,32,21,9,0,2,30
972,4,0,2,2,0,4
973,87,40,26,2,19,68
974,40,21,11,1,7,33
975,13,8,2,0,3,10
976,56,29,20,0,7,49
977,153,62,31,30,30,123
978,498,229,111,53,105,393
979,48,9,28,1,10,38
980,273,19,200,2,52,221
981,47,20,10,8,9,38
982,108,41,37,2,28,80
983,579,326,140,21,92,487
984,101,66,9,2,24,77
985,44,29,9,0,6,38
986,107,56,23,0,28,79
987,58,9,38,0,11,47
988,17,10,2,0,5,12
989,23,9,10,1,3,20
990,195,39,53,65,38,157
