,replacement
813,hilu
815,ngerengere kaskazini
819,kibana
821,sebuleni
822,chakwale mjini
823,kiseni
824,isingiro stati
827,chabula
829,m/kati
832,mahango
833,no 1
834,magadirisho
837,kwevigingi
838,ngado
841,cha mashariki
842,nemba
850,no 1
851,izigira
853,mkapita
858,irangi
861,rutenge a
863,barabara 2
864,nyanghuluku
867,gitianga 'a'
870,handei
872,kashenshero
873,kisondo
879,mkasenga
881,kishale
884,vikuge
885,itinde
890,unyang'ongo
891,migambo
892,mankwi
898,marukeni
901,singiwe a
903,masumuni
906,barabara 7
907,kwasungura
908,kabirizi mangaribi
909,ngwala kati
915,kabirizi mangaribi
918,isalalo
920,tuleane
923,kasemi
924,ngogomoni
926,ipilingitya
930,mbwawa shule
932,emao
933,namalema
935,kabakara
937,misheni c
940,centre
942,maring'a juu
943,gawal
946,imalangi
949,shungubweni
951,rabai
952,funguni
954,kibati
955,buswalila
957,balangai
961,shuleni street
972,larmaroro
976,matongolo
978,maliaseli
979,beselini
980,iropa
984,misha
987,mhunda
990,msela
994,masange
995,lufilyo
998,sogeambele
999,kongowe kati
1000,kasumo
1001,mwaluzilo
1002,mchekeni
1004,matanka
1005,makwale wanu
1008,zongomela
1009,midahani
1010,landani
1014,chakwale mjini
1018,mgwashi
1020,i/kati
1021,mubamba
1022,malla
1024,ihawa
1025,nyanzenda center
1026,nyambili kaskazin
1030,mkongea
1033,mgeo
1034,kimaroroni
1035,mkorongoni
1040,matosa
1041,ikiligano
1043,no 1
1045,irangali
1046,irangi
1047,kiverenge
1051,kabwana
1055,kumutumba
1057,nangurukuru
1060,kibululu
1061,ibuta
1066,yaeda kati
1072,mlenvya
1074,amuhama
1076,ukereni
1077,stand a
1083,bastena
1084,kashenshero
1085,nakiu
1092,bugugo
1094,kishoju 1
1100,mpeto b
1104,budushi b
1105,usomeke
1106,kasala
1107,jumuiya
1108,shuleni street
1110,migege
1111,luhiti
1113,gumali
1115,bermi a
1116,mji a
1119,lusangi
1120,nyabusozi
1123,tuleane
1124,kiwela a
1126,itungulu
1128,chalangwa a
1132,mara a
1133,busekwa
1135,unyarughe
1136,mubamba
1142,mkoka
1143,mkululu
1145,itinde
1146,msela
1148,mvae
1150,chakwale mjini
1151,nyaruziba
1152,iwanga kati
1154,nyachanga
1157,itungulu
1158,kabera
1159,mubamba
1161,temekelo
1164,amuhama
1166,mandangeni
1169,ibadakuli kati
1173,itungulu
1179,kuvukareli
1181,chela center
1182,sebuleni
1184,makao makuu b
1188,mbarika
1189,mshoka
1193,umarini
1195,kwiriba
1196,kimbuga
1199,ngombezi
1200,marukeni
1203,lufingo
1204,nyambili kaskazin
1206,tupa
1207,tanya
1210,mnyusi b
1216,handei
1218,itungulu
1221,afrka ya kati
1222,senta 'a'
1226,kamnyalile
1229,melela
1231,mkorongoni
1242,kidalini
1244,kabagombe
1245,kabakara
1246,usesi
1251,ishilanga
1253,wita
1254,gawal
1258,mamburay
1259,nselembwe
1260,jj
1261,mkorongoni
1262,goha
1263,muuti
1265,itinde
1269,no 1
1270,ng'amba
1271,igelango
1273,chakwale mjini
1275,amrushu kisale
1277,doroto
1278,kavambughu
1279,kiwela a
1284,changaraw
1286,sumlei
1287,olbili shuleni
1289,maini
1290,kimira
1293,manga magharibi
1294,centre
1297,kuvukareli
1300,hinjiri
1302,simbo
1304,sagamaganga b
1307,kiromo b
1308,kakirungu
1310,mpondomo
1315,nsambya
1316,ng'ombo kati
1320,mumasiga
1321,nyashishi
1322,walla
1330,singiwe a
1336,tandai
1337,sebuleni
1338,unyang'ongo
1340,mpondomo
1345,matini
1347,ngerengere kaskazini
1348,nsololo tankini
1350,sopa kati
1355,mengeni
1357,zobogo
1358,wahe
1359,lomishila
1361,ibadakuli kati
1363,kichongo
1366,mkeha
1369,kasemi
1371,buseko
1373,lyamrakana
1375,shambwe
1376,kaseke
1378,mlenvya
1382,maring'a juu
1384,dinyanga
1387,kanalunwa
1389,lwanji
1391,mpondomo
1392,itaba
1400,barabara 7
1402,muyenzi
1403,onya
1404,okaseni chini
1406,tuleane
1409,lusind
1411,malinyi mjini
1418,namayuni mjini
1421,kainam
1422,maliasili
1425,rabai
1428,chakalamba
1429,manga magharibi
1432,nyakasero
1434,namahimba a
1436,mumasiga
1438,no 1
1439,unyarughe
1448,kinenulo
1450,ihawa
1451,lumbila kati
1452,chakahaya
1453,matosa
1457,rabai
1458,katoke centre
1459,katuruka
1462,mubamba
1466,mokoro
1468,nyambili kaskazin
1469,chapulwa
1470,mraurau
1471,kipogoro
1473,mumigezi
1475,lisimonji
1481,nyanghuluku
1486,ngogomoni
1487,ngana
1488,maande
1489,galilea
1495,mikameni
1496,maliaseli
1497,nyabenge
1498,manga magharibi
1504,marumbo
1506,katuruka
1508,misha
1512,luhorya
1514,ibangamoyo
1515,nselembwe
1519,balangai
1524,unyarughe
1527,tanaka
1528,lung'angali
1531,mirambi
1533,dakau kati
1534,kamnyalile
1536,meshili
1540,mhunda
1542,mungumaji
1545,ishilanga
1546,ng'ai
1553,sabore
1554,kapugi
1556,marumbo
1558,mwitambo
1567,namayuni mjini
1568,makovo
1569,imalangi
1573,mofi
1577,kaseke
1578,ilomba
1589,mandel
1590,bermi a
1594,igominyi
1595,manga magharibi
1597,katanini street
1599,nyakasero
1601,ishima
1602,omukashenyi
1603,chakwale mjini
1605,dinyanga
1608,mahanzi
1609,maliaseli
1612,uvinza
1613,chakwale mjini
1616,kwaraa
1617,mkeha
1618,uvinza
1619,kibama
1622,mubamba
1630,luhiti
1632,nyashishi
1633,iragua kati
1637,ipombwe
1640,goha
1642,bukigi
1643,goha
1644,mubamba
1645,ngando
1647,murusagamba
1648,handei
1651,kamnyalile
1658,some
1659,mwaluzilo
1660,junjuhu
1662,kamnyalile
1667,nure
1670,kamwene
1671,mgwasi
1673,centre
1680,magoweko
1683,ruponda
1684,mbesi
1687,i/kati
1688,kidoma
1689,ngeke
1690,ruaha kati
1694,mlenvya
1696,ikemeja
1698,kangabusharo
1700,endaqulaqula
1709,byasyo
1712,ngelele
1714,kasumo
1715,marukeni
1716,kiromo b
1718,kaduduma
1719,itete a
1722,mvae
1724,kigale
1725,mahango
1728,ishihimulwa
1729,sopa kati
1733,reha
1734,ubamba a
1735,mahango
1739,kabirizi mangaribi
1742,mzambaraweni
1748,kasala
1749,kichongo
1751,uyamba
1754,bulimbwe
1755,kagenyi b
1762,nyanswega
1764,murusagamba
1766,sambandole
1768,mungumaji
1771,ilongelo
1775,mubamba
1777,komstari
1782,ugimu
1784,ahakishaka
1785,nsololo tankini
1786,kabwana
1788,nanga kati
1789,migambo
1791,mabamba mjini
1793,vugwama kati
1798,gumali
1801,sukula kati
1807,no 1
1809,moa
1811,nyangova
1813,nsololo tankini
1818,tewe
1825,shangweni
1828,m/kati
1831,nkuju
1832,isawero
1833,nyafifi
1836,kidoma
1837,lusangi
1838,mofi
1840,marukeni
1841,ngado
1844,mshoka
1846,plot
1850,sangamwampuya
1851,mhekela kati
1855,kiwalaa
1858,kibati
1861,mparamawe
1864,kanalunwa
1865,tupa
1870,kabwana
1871,itugutu
1876,kinyamwel
1877,kigale
1881,mokoro
1883,anuru
1886,m/kati
1888,centre
1890,matongolo
1898,mwagala b
1900,kahangara
1904,mikameni
1906,ikemeja
1913,sango
1914,tupa
1915,chakwale mjini
1916,kumwai
1917,dinyanga
1920,kemugesi
1922,olumeli
1923,kanalunwa
1928,simbo
1931,mlesa
1932,mlesa
1935,nsololo tankini
1938,mahango
1946,mkoka
1949,chakwale mjini
1952,kuvukareli
1953,ntapisi kati
1955,tupa
1957,amrushu kisale
1959,kahangara
1963,makwale wanu
1964,mankwi
1967,mto mabungo
1970,mabamba mjini
1971,mahuu
1972,katindiuka c
1973,mzambaraweni
1974,luhorya
1976,mjenga
1977,mungumaji
1979,wigelekelo mashariki
1980,handei
1981,ikungula
1986,tewe
1988,general tyre
1990,hilu
1991,lusangi
1993,mubamba
1995,surumala
1996,ngerekwe
1998,lusangi
2002,kilotweni
2003,kihogazi
2004,matwalani
2006,mria
2008,moyamayoka
2010,manga magharibi
2011,ng'ai
2013,matongolo
2014,maring'a juu
2018,iziwira
2021,makili a
2023,mgwasi
2025,ngagama
2032,ngerekwe
2035,tangu
2036,ngerengere kaskazini
2040,magoweko
2041,mahango
2042,moteti
2043,izika
2047,isalalo
2052,kasumo
2055,simha
2059,liwola
2060,tambuka relini
2064,gweselo
2065,lukozi
2068,kahangara
2077,irua
2078,nkiniziwa c
2079,tupa
2080,ibadakuli kati
2081,busota
2084,mhaka
2085,makili a
2099,nanyati
2100,mikameni
2102,kamsamba kati
2105,kidalini
2109,nsololo tankini
2110,shihando
2112,marumbo
2113,shanga
2115,makili a
2116,kitipwi
2117,namalema
2118,misheni kati
2121,igelehedza b
2122,moyamayoka
2123,kanalunwa
2124,nyamalebe
2125,dakau kati
2127,kurungeni
2128,kiloweko
2130,jj
2131,mshoka
2132,kwiriba
2133,ngabobo
2134,mria
2135,ngando
2139,tuleane
2141,unyarughe
2142,kasanda
2143,madizini kati
2144,malla
2146,chumo b
2147,olomatejo
2148,tuleane
2151,jj
2152,igominyi
2153,intera
2154,mawulo
2156,lutowelo
2157,miziro
2161,kabagombe
2162,nyabageni
2163,ngerekwe
2164,orbesh
2165,ishihimulwa
2166,mubamba
2168,okaseni chini
2171,mazizini
2172,kibosou
2175,kanalunwa
2176,junjuhu
2179,nyakasero
2180,kabagombe
2181,kabagombe
2184,kabakara
2186,kichongo
2192,kibwe
2195,komankwavi
2196,mchekeni
2197,omukashenyi
2198,ikemeja
2200,kagarama
2201,mungumaji
2202,emao
2203,mwabusalu
2204,itungulu
2208,plot
2210,junjuhu
2213,mwagwisu
2215,msegelele
2217,msimba a
2218,mofi
2220,m/kati
2222,lutowelo
2223,nsololo tankini
2224,miziro
2228,busango
2231,mang'amba
2239,nyamerama
2240,busota
2244,namwawala a
2247,mandawa
2248,iponda
2252,mbae mashariki
2253,engutukoit
2254,rusesa
2258,malinyi mjini
2260,isalalo
2263,dulaghag
2265,sagamaganga b
2266,weruweru
2267,mlesa
2269,nduamughanga
2271,igo
2272,mhunda
2274,mikole
2275,bugumwa
2276,matwalani
2277,kahangara
2286,komstari
2288,chisichili
2292,ngonga
2294,kahangara
2296,centre
2304,shebomeza
2307,mhaka
2310,amuhama
2311,ishigwandama
2314,afrka ya kati
2318,kinepa
2319,michenga c
2321,mpenvyi
2322,mijelejele
2326,kiwela a
2327,kurungeni
2328,mbuyura a
2329,malla
2333,ngerekwe
2334,mto mabungo
2336,ng'ai
2337,hinjiri
2341,isembuka
2342,ishilanga
2343,mkoka
2344,rabai
2345,nyamkong'oti
2346,mayanda
2347,kibonkho
2348,mirambi
2349,malinyi mjini
2352,mwamagaka
2354,stahabu azimio
2355,nselembwe
2357,centre
2358,nsojo
2359,omukashenyi
2364,bunukangoma
2367,dosidosi
2368,busota
2370,mshoka
2378,katoke centre
2380,mahango
2383,chabula
2384,kipatimu boma
2389,goha
2394,kongowe kati
2397,msete
2399,mugumu
2400,kashenshero
2403,sebuleni
2406,bukuma
2408,masumuni
2410,mria
2411,kati juu
2412,nyashishi
2415,hudumani
2416,go down
2418,mkwaja
2421,ngeke
2425,kitonto
2428,mazizini
2429,lusangi
2431,mwakilu
2433,chikwera
2436,kigugu
2443,mahango
2445,kimosonu
2447,mang'amba
2448,isalalo
2452,mwayaya
2453,mrau
2456,shuleni street
2459,arati
2460,litembo chini
2465,jj
2466,sopa kati
2468,mkomang'ombe
2469,komstari
2473,afrka ya kati
2476,go down
2477,imalangi
2481,nselembwe
2483,nyakitanga
2484,mwakilu
2487,chakwale mjini
2489,ishilanga
2490,nyalikungu
2491,mirambi
2493,hilu
2494,matyazo a
2497,mbesi
2498,ilovi
2499,chakwale mjini
2502,chiminula a
2503,kenswa mta wa kwanza
2505,lusangi
2506,itaja
2508,mshwamba
2511,mirambi
2513,junjuhu
2515,pamila
2516,yungu
2517,ugunigu
2522,karansi
2526,hallu
2527,ruponda
2528,nyundo
2529,walla
2530,afrka ya kati
2531,kaduduma
2532,i/kati
2538,mahuu
2540,shuleni street
2544,amuhama
2549,hallu
2552,tuleane
2553,olkononoi
2555,mayanda
2566,chanyangabwa a
2571,lwanji
2574,itinde
2576,simbo
2578,kanalunwa
2579,iropa
2582,nyabibuye
2586,mofi
2588,nyamerama
2589,mkululu
2591,kwaraa
2593,sia
2596,ibadakuli kati
2597,marumbo
2598,bukene mjini
2599,mji a
2601,ishigwandama
2603,kidalini
2609,moteti
2610,nduamughanga
2613,igominyi
2615,ipilingitya
2616,mirambi
2617,iziwira
2618,mshoka
2619,kapugi
2620,moyamayoka
2621,mwalukuliko
2622,bigwa barabarani
2625,madizini kati
2626,ngweni
2627,kinzudi
2628,kilongoni
2630,kwetongo
2631,chiyanga
2635,godauni a
2640,sebuleni
2641,mlenvya
2642,misheni kati
2643,ngoswak
2646,kiloweko
2648,yerico
2649,magangasenga
2651,dofa
2652,magoweko
2654,kasese
2655,ikungulyankoma
2664,mgwasi
2665,mkapita
2666,sopa kati
2671,matadi a
2672,nsongoro
2673,kipogoro
2674,mombea
2677,mgoda
2679,napoko
2680,usisya kati
2681,sayuni
2682,nyalikungu
2686,dinyanga
2687,booni
2688,m/kati
2690,kibululu
2692,mtalala
2696,mikameni
2706,kinyamwel
2707,booni
2710,sebuleni
2714,matwalani
2719,kirueni kati
2720,msete
2723,singiwe a
2725,goha
2726,i/kati
2727,nsongoro
2729,simambwe
2734,bugoloka
2737,lepoloseki
2739,nakibondo
2742,lusangi
2746,mkasenga
2749,kwiriba
2751,umarini
2752,m/kati
2756,mwalukuliko
2758,siuyu
2759,nyabihore
2765,chabula
2767,magoweko
2769,nselembwe
2770,mahango
2774,lusangi
2775,kwaraa
2777,igumbiro kati
2780,nsojo
2783,masumuni
2784,kabera
2788,kiverenge
2790,chiloloma
2791,lwanji
2796,matini
2797,ishihimulwa
2800,no 1
2802,go down
2805,marumbo
2808,ikemeja
2813,mji a
2814,lusangi
2815,chalangwa a
2817,kyimo
2822,irua
2823,tuleane
2825,tangu
2826,misha
2827,nure
2828,ukereni
2832,kabwana
2834,lwanji
2835,nyaruyoba
2846,irole
2849,marumbo
2850,mijelejele
2851,nyanzenda center
2853,unyarughe
2854,kabakara
2860,migambo
2864,mtaa wa kinyamwezi
2865,matarura
2867,ishihimulwa
2868,marumbo
2869,omukashenyi
2871,mankwi
2872,ishilanga
2873,mtamba kati
2874,kasanda
2875,lyamrakana
2878,nyambili kaskazin
2879,mshoka
2888,mtaa wa zingiziwa
2891,no 1
2892,bukene mjini
2895,kinepa
2896,sayuni
2898,dinyanga
2899,mkolango
2903,singiwe a
2904,matini
2907,mubamba
2908,mshoka
2909,godauni a
2913,nzihi b
2918,liwola
2923,dinyanga
2924,nyabihore
2927,kuvukareli
2931,raha leo b
2937,m/kati
2942,nyanswega
2943,chiminula a
2945,nyashitundu
2946,mugera
2947,mikaragata
2948,mijelejele
2952,mubamba
2954,mdeme
2955,migege
2956,nangurukuru
2959,ibangamoyo
2960,m/kati
2962,intera
2964,zobogo
2965,beselini
2969,mofi
2972,murigha
2975,hinjiri
2978,marukeni
2980,ishilanga
2985,nyanghuluku
2988,mwamagunguli
2990,rusesa
2992,kitipwi
2996,ibadakuli kati
2997,m/kati
2998,hilu
2999,ishigwandama
3000,lusangi
3003,bulyang'ombe kati
3008,ndubi
3015,msegelele
3016,misheni kati
3019,nselembwe
3027,walla
3029,manuwas
3030,anuru
3031,stendi mpya
3034,nselembwe
3039,stand a
3040,shebomeza
3043,mgeduli
3049,ilomba
3050,irua
3051,mtukura
3052,ilela
3057,magange
3059,ikiligano
3068,kyangwe
3070,misha
3071,go down
3073,muhintiri
3076,zongomela
3077,lwanji
3082,ubamba a
3083,rabai
3084,madindika
3087,maforoni kati
3089,kisanjuni
3094,kabwana
3095,katanini street
3096,toronto
3101,kinyamwel
3102,itugutu
3103,kishiha
3108,mlenvya
3109,moyamayoka
3111,liwola
3113,marumbo
3115,makovo
3116,kabera
3117,kilungu
3123,izika
3124,muyenzi
3125,komankwavi
3128,kibululu
3130,stand a
3131,kibululu
3138,mnyusi b
3145,lusangi
3148,junjuhu
3150,imalangi
3152,balangai
3154,bukiriro kati
3155,ngerezini
3156,mgaraganza
3158,kwetongo
3162,sebuleni
3163,shanga
3164,ishilanga
3165,izika
3168,mahongole a
3171,nampigwe
3172,chumvu juu
3173,ipito
3174,mwaluzilo
3177,mbagula chini
3181,izika
3182,amuhama
3183,matimba
3185,mahango
3189,mkapita
3190,shinga
3191,pamila
3192,ngogomoni
3194,mende
3196,mwagwisu
3197,mubamba
3198,tarakwa
3200,endaqulaqula
3204,nyanzenda center
3207,kabwana
3209,migambo
3212,dosidosi
3216,mwigumbi centre
3217,kiwida
3221,mubamba
3222,nyabenge
3227,mitengwe mashariki
3229,toatoa
3232,mwagwisu
3234,usisya kati
3237,kwa banda
3243,mfulu
3246,ngonga
3247,tupa
3248,itungulu
3251,ngombezi
3252,kabera
3256,nsambya
3257,manuwas
3260,changaraw
3265,mhaka
3271,bangamoyo
3272,mkatanga
3273,centre
3275,kigale
3276,simambwe
3281,itungulu
3282,sokomsuya
3284,chanyangabwa a
3286,national park
3287,kasanda
3289,tuleane
3290,bulifani
3293,buhekela
3300,kasanda
3304,zobogo
3305,mijelejele
3306,mwabusalu
3309,mwinja
3310,kemugongo a
3311,lusangi
3313,amuhama
3314,dulaghag
3315,simambwe
3316,magubika
3317,isingiro stati
3321,unyarughe
3322,katanini street
3326,malla
3327,nyaruziba
3328,magubika
3329,mirambi
3330,kenswa mta wa kwanza
3334,isalalo
3337,unyang'ongo
3339,itugutu
3340,mubamba
3342,endamagai
3346,lumbila kati
3347,bunukangoma
3351,kwitangi
3352,itugutu
3357,igegu
3359,kiwida
3363,mbae mashariki
3364,buswalila
3369,mungumaji
3370,seela kati
3371,mahango
3372,mgomba kaskazini
3375,rabai
3378,tiku
3384,godown a
3385,jilingu
3387,mwinja
3392,wahe
3393,endaqulaqula
3394,kiloweko
3395,saja kati
3397,nzihi b
3398,iwengi
3401,ikama
3405,bermi a
3406,shuleni street
3408,lwanji
3409,kidalini
3411,fungafunga
3429,reha
3431,mumigongo
3432,ishihimulwa
3434,swebo
3436,barabara 7
3438,kaluyango
3439,kibama
3440,unyarughe
3442,lyangoloko
3443,kidalini
3444,tuleane
3445,mabamba mjini
3446,matanka
3447,mombea
3448,igo
3449,booni
3451,barabara 7
3452,mtalala
3453,nyanghuluku
3455,usisya kati
3456,kipatimu boma
3457,ishihimulwa
3459,matambwe
3460,makovo
3461,unyarughe
3462,midahani
3463,kishewa
3465,nyakagando
3466,mijelejele
3470,sokomsuya
3471,sopa kati
3474,maloya
3475,maforoni kati
3476,m/kati
3478,dinyanga
3480,izika
3481,ishihimulwa
3482,nyambili kaskazin
3484,mubamba
3486,matimba
3487,moyamayoka
3488,kumwai
3490,kamazi
3493,emao
3494,kidoma
3496,ngando
3503,nduta
3504,msegelele
3506,nyakagando
3507,rambo
3509,shuleni street
3510,ng'ai
3512,olbili shuleni
3515,itinde
3518,kiria b
3520,nemba
3522,ngweni
3524,mhaka
3526,tahuru
3528,sebuleni
3529,kichongo
3530,itungulu
3532,kambai
3533,gedamar b
3535,ngombezi
3538,mwigumbi centre
3541,ngegemo
3544,mwandege
3545,mbuyura a
3547,nyaruyoba
3550,magoweko
3551,gwandamula
3552,mkapita
3555,miziro
3558,janda juu
3562,bugumwa
3566,gumali
3570,mandawa
3572,kuvukareli
3575,nyanzenda center
3576,irangi
3578,arkaria
3581,kiria b
3582,kigale
3586,kiloweko
3592,mubamba
3598,tuleane
3600,kabwana
3603,toronto
3604,mkoka
3606,madizini kati
3607,gawal
3608,moyamayoka
3609,kagarama
3610,chakwale mjini
3612,seela kati
3614,lowasi
3615,kishale
3616,mvumi a
3621,tandai
3624,rugongoni
3626,nyipala
3630,imisigiyo
3634,kumwai
3635,ishihimulwa
3636,changaraw
3637,ishihimulwa
3638,ngwala kati
3641,nyakitanga
3642,nduamughanga
3643,lusind
3646,kiwela a
3647,naimba
3650,nkeso a
3651,bastena
3657,maande
3658,mgeduli
3662,matarura
3663,chimate kati
3665,mugongo
3666,ruvuma juu
3668,iziwira
3671,liwola
3672,nduamughanga
3673,jongo
3675,kambai
3678,chivu b
3679,rwisaka
3683,mjure
3684,mkwaja
3685,miziro
3687,lusangi
3688,mahango
3689,tuleane
3690,izigira
3698,chivu b
3700,mubamba
3702,nkiniziwa c
3703,bangamoyo
3711,nyanswega
3715,mkasenga
3719,itungulu
3720,mapinduzi b
3723,ngerekwe
3729,ikunya
3732,chela center
3733,kabulonge
3735,litembo chini
3736,kumwai
3741,ngando
3745,magadu
3746,kibosou
3748,njeje
3754,dinyanga
3755,bitare kati
3758,jabutwa
3759,chumvu juu
3761,lusangi
3763,chabula
3764,makiweru
3767,mwigumbi centre
3769,ngwala kati
3770,mshoka
3774,mgomba kaskazini
3777,tupa
3779,mlesa
3780,mabamba mjini
3782,msela
3789,mbae mashariki
3795,kisondo
3797,itinde
3798,mto mabungo
3801,kinyamwel
3805,nselembwe
3806,lisimonji
3807,msimba a
3809,masumuni
3812,uyamba
3815,ishihimulwa
3816,no 1
3818,buswalila
3819,mpondomo
3820,mirambi
3830,nyakuguma
3831,mahango
3832,mijelejele
3838,ruhuwiko kanis
3842,fukayosi
3843,nyashishi
3845,msanzi kati
3847,bulyang'ombe kati
3849,mchekeni
3851,mpondomo
3858,barabara 7
3859,mofi
3861,kainam
3863,cha mashariki
3865,ngerengere kaskazini
3868,mpingi a
3870,chakwale mjini
3871,stand a
3872,mkeha
3874,naimba
3878,busale
3882,lumbila kati
3890,mbarika
3892,nyambili kaskazin
3894,uponera juu
3895,chongoleani
3897,liwola
3898,vumari
3899,dinyanga
3903,arati
3904,no 1
3905,mkapita
3913,ngagama
3914,kahangara
3915,uhemeli kati
3919,ishilanga
3920,namalema
3922,mirambi
3924,junjuhu
3925,lusangi
3926,mubamba
3927,dumanang
3929,nyakitono
3930,mavanga
3931,kwaga b
3932,mubamba
3934,ngelele
3941,mahango
3946,moteti
3947,ngagama
3948,merali
3950,nemba
3954,embaruway
3956,barabara 7
3960,miziro
3962,bugoloka
3964,ikovo
3969,ruhuwiko kanis
3970,iziwira
3971,mkeha
3973,mzambaraweni
3974,nyaruyoba
3975,lutowelo
3978,kagoye b
3980,lugongoni
3982,msanzi kati
3985,moteti
3986,kinjumbi b
3990,kibama
3992,rabiro
3995,nyakagando
3996,mkoka
4000,msela
4002,irangi
4005,tewe
4006,olbili shuleni
4007,bomu
4008,ngayagaye
4009,unyang'ongo
4012,mzambaraweni
4015,kibagwe
4017,tambuka relini
