,total_wells_within_5_mils,close_functional_wells,close_non_functional_wells,close_functional_needs_repair_wells,close_unknown_wells,close_known_wells
37026,15,7,4,0,4,11
37027,137,71,43,11,12,125
37028,45,1,35,2,7,38
37029,34,22,5,2,5,29
37030,35,4,22,0,9,26
37031,64,15,39,0,10,54
37032,41,12,16,1,12,29
37033,4,2,1,0,1,3
37034,32,21,9,0,2,30
37035,46,28,9,0,9,37
37036,8,2,4,0,2,6
37037,28,16,8,0,4,24
37038,61,19,25,4,13,48
37039,31,16,10,1,4,27
37040,92,20,40,10,22,70
37041,384,186,103,17,78,306
37042,70,44,5,2,19,51
37043,32,12,2,14,4,28
37044,151,52,40,31,28,123
37045,5,3,1,0,1,4
37046,54,29,13,3,9,45
37047,34,16,8,4,6,28
37048,52,8,27,4,13,39
37049,40,8,18,2,12,28
37050,73,24,26,0,23,50
37051,47,17,21,0,9,38
37052,26,1,7,13,5,21
37053,77,44,21,0,12,65
37054,47,27,9,2,9,38
37055,43,12,20,3,8,35
37056,60,21,26,0,13,47
37057,39,16,11,1,11,28
37058,73,49,8,0,16,57
37059,442,253,83,12,94,348
37060,46,28,2,5,11,35
37061,61,35,16,1,9,52
37062,113,71,16,3,23,90
37063,38,0,33,1,4,34
37064,67,44,9,0,14,53
37065,92,10,60,5,17,75
37066,133,50,43,11,29,104
37067,68,45,5,3,15,53
37068,200,133,20,0,47,153
37069,17,8,5,0,4,13
37070,185,54,103,4,24,161
37071,348,157,112,9,70,278
37072,122,67,35,1,19,103
37073,43,15,16,8,4,39
37074,76,21,27,12,16,60
37075,87,51,19,4,13,74
37076,16,7,6,0,3,13
37077,0,0,0,0,0,0
37078,218,110,68,6,34,184
37079,52,9,19,19,5,47
37080,60,35,14,1,10,50
37081,34,26,1,3,4,30
37082,49,22,15,2,10,39
37083,32,21,9,0,2,30
37084,133,69,20,18,26,107
37085,103,67,1,13,22,81
37086,2,2,0,0,0,2
37087,14,5,3,3,3,11
37088,130,42,49,14,25,105
37089,55,26,8,8,13,42
37090,10,5,5,0,0,10
37091,60,32,17,0,11,49
37092,77,10,52,1,14,63
37093,21,10,6,2,3,18
37094,79,37,28,4,10,69
37095,35,19,8,0,8,27
37096,118,32,44,15,27,91
37097,17,4,11,0,2,15
37098,52,32,11,0,9,43
37099,25,10,11,0,4,21
37100,64,41,5,0,18,46
37101,64,32,7,5,20,44
37102,21,8,5,1,7,14
37103,27,7,14,3,3,24
37104,34,18,6,1,9,25
37105,40,20,10,1,9,31
37106,61,17,35,1,8,53
37107,57,24,23,1,9,48
37108,117,90,6,0,21,96
37109,161,83,40,0,38,123
37110,37,8,19,0,10,27
37111,35,15,13,0,7,28
37112,35,16,10,1,8,27
37113,32,21,9,0,2,30
37114,37,14,10,0,13,24
37115,25,7,10,1,7,18
37116,51,25,19,0,7,44
37117,185,92,55,0,38,147
37118,87,22,45,1,19,68
37119,128,108,2,0,18,110
37120,59,28,17,3,11,48
37121,51,25,18,0,8,43
37122,16,9,6,0,1,15
37123,94,43,28,3,20,74
37124,91,63,6,7,15,76
37125,259,119,76,12,52,207
37126,22,8,6,1,7,15
37127,83,53,17,0,13,70
37128,46,25,11,4,6,40
37129,132,38,67,5,22,110
37130,26,11,7,2,6,20
37131,118,41,45,6,26,92
37132,38,20,13,0,5,33
37133,434,231,109,20,74,360
37134,157,71,51,6,29,128
37135,86,54,12,2,18,68
37136,19,3,8,0,8,11
37137,85,20,48,0,17,68
37138,60,24,23,3,10,50
37139,513,272,86,47,108,405
37140,19,8,4,2,5,14
37141,161,48,87,4,22,139
37142,21,14,5,0,2,19
37143,44,27,7,2,8,36
37144,9,1,3,4,1,8
37145,201,52,22,94,33,168
37146,62,42,6,0,14,48
37147,85,24,22,21,18,67
37148,101,27,57,0,17,84
37149,92,41,30,0,21,71
37150,117,48,10,30,29,88
37151,33,8,15,0,10,23
37152,117,48,10,30,29,88
37153,50,29,13,1,7,43
37154,36,23,3,0,10,26
37155,17,9,6,0,2,15
37156,143,57,57,8,21,122
37157,41,22,4,8,7,34
37158,417,97,176,48,96,321
37159,74,37,17,3,17,57
37160,240,60,101,18,61,179
37161,56,18,28,0,10,46
37162,26,14,6,0,6,20
37163,46,18,20,0,8,38
37164,332,108,140,16,68,264
37165,110,69,15,3,23,87
37166,24,13,3,5,3,21
37167,140,62,28,19,31,109
37168,106,26,57,3,20,86
37169,19,13,2,0,4,15
37170,29,9,12,0,8,21
37171,77,33,16,13,15,62
37172,150,61,34,19,36,114
37173,115,84,7,0,24,91
37174,265,75,128,4,58,207
37175,276,26,193,2,55,221
37176,74,11,49,0,14,60
37177,38,8,19,2,9,29
37178,37,17,6,2,12,25
37179,203,83,36,33,51,152
37180,227,125,65,0,37,190
37181,560,318,119,16,107,453
37182,70,1,55,0,14,56
37183,68,35,19,0,14,54
37184,19,6,9,1,3,16
37185,56,37,12,0,7,49
37186,109,103,0,6,0,109
37187,54,27,8,8,11,43
37188,91,49,11,10,21,70
37189,32,21,9,0,2,30
37190,64,45,12,1,6,58
37191,39,8,26,3,2,37
37192,342,145,121,6,70,272
37193,205,126,38,5,36,169
37194,133,99,6,0,28,105
37195,46,18,20,0,8,38
37196,37,9,24,1,3,34
37197,22,4,11,3,4,18
37198,76,20,35,7,14,62
37199,33,20,9,0,4,29
37200,90,72,3,1,14,76
37201,17,6,9,1,1,16
37202,46,18,20,0,8,38
37203,46,24,9,2,11,35
37204,15,3,8,0,4,11
37205,259,148,42,16,53,206
37206,163,55,50,24,34,129
37207,451,150,158,46,97,354
37208,75,36,15,6,18,57
37209,163,70,34,19,40,123
37210,55,11,33,0,11,44
37211,32,21,9,0,2,30
37212,60,18,18,8,16,44
37213,140,28,58,21,33,107
37214,352,185,93,15,59,293
37215,155,74,49,1,31,124
37216,46,27,11,0,8,38
37217,24,10,11,1,2,22
37218,76,36,21,2,17,59
37219,37,17,13,1,6,31
37220,146,36,76,1,33,113
37221,32,21,9,0,2,30
37222,2,1,1,0,0,2
37223,30,21,4,0,5,25
37224,58,37,12,0,9,49
37225,13,0,11,0,2,11
37226,100,66,15,0,19,81
37227,24,15,4,0,5,19
37228,483,233,95,49,106,377
37229,81,40,23,2,16,65
37230,284,127,102,2,53,231
37231,335,202,63,0,70,265
37232,26,18,2,0,6,20
37233,14,7,5,0,2,12
37234,93,53,23,4,13,80
37235,48,14,14,7,13,35
37236,9,2,2,4,1,8
37237,380,196,89,13,82,298
37238,178,114,23,9,32,146
37239,151,24,98,1,28,123
37240,63,16,8,26,13,50
37241,97,48,16,2,31,66
37242,448,237,108,14,89,359
37243,46,18,20,0,8,38
37244,37,10,18,2,7,30
37245,41,13,18,3,7,34
37246,20,9,5,0,6,14
37247,33,9,12,6,6,27
37248,52,11,26,3,12,40
37249,38,15,17,0,6,32
37250,55,24,14,2,15,40
37251,62,38,13,1,10,52
37252,72,22,26,2,22,50
37253,128,53,32,19,24,104
37254,108,52,31,5,20,88
37255,11,2,8,0,1,10
37256,155,121,9,3,22,133
37257,37,18,4,4,11,26
37258,41,10,23,1,7,34
37259,114,87,5,0,22,92
37260,186,123,27,5,31,155
37261,2,2,0,0,0,2
37262,91,44,18,10,19,72
37263,30,10,18,1,1,29
37264,87,56,13,0,18,69
37265,68,26,26,4,12,56
37266,155,119,2,2,32,123
37267,103,20,60,1,22,81
37268,2,0,2,0,0,2
37269,96,36,31,6,23,73
37270,38,13,16,1,8,30
37271,119,32,33,29,25,94
37272,137,63,42,10,22,115
37273,45,25,10,0,10,35
37274,80,52,5,0,23,57
37275,46,18,20,0,8,38
37276,210,61,102,4,43,167
37277,87,39,25,3,20,67
37278,36,30,0,1,5,31
37279,95,39,28,0,28,67
37280,21,12,4,0,5,16
37281,63,25,19,5,14,49
37282,10,4,5,0,1,9
37283,24,3,11,1,9,15
37284,57,36,7,0,14,43
37285,17,4,7,0,6,11
37286,13,7,3,1,2,11
37287,524,236,135,41,112,412
37288,16,1,11,0,4,12
37289,87,44,24,2,17,70
37290,33,3,6,16,8,25
37291,177,85,26,25,41,136
37292,25,10,9,0,6,19
37293,56,37,12,0,7,49
37294,28,9,12,1,6,22
37295,126,42,45,7,32,94
37296,71,20,39,1,11,60
37297,597,416,51,1,129,468
37298,14,10,2,0,2,12
37299,138,40,68,1,29,109
37300,154,78,45,1,30,124
37301,376,176,123,8,69,307
37302,130,31,71,1,27,103
37303,46,18,20,0,8,38
37304,194,52,78,15,49,145
37305,18,8,2,2,6,12
37306,103,67,25,1,10,93
37307,93,33,40,9,11,82
37308,127,49,43,8,27,100
37309,92,38,34,3,17,75
37310,61,41,1,4,15,46
37311,27,8,12,1,6,21
37312,31,17,9,1,4,27
37313,173,80,55,3,35,138
37314,103,41,27,12,23,80
37315,35,8,16,2,9,26
37316,25,4,13,0,8,17
37317,32,14,11,0,7,25
37318,121,48,37,8,28,93
37319,74,43,18,0,13,61
37320,25,9,10,2,4,21
37321,19,3,12,0,4,15
37322,655,382,143,17,113,542
37323,6,0,4,0,2,4
37324,11,3,6,0,2,9
37325,50,26,15,0,9,41
37326,182,6,147,0,29,153
37327,119,50,38,2,29,90
37328,90,29,32,11,18,72
37329,8,4,3,0,1,7
37330,55,38,6,1,10,45
37331,101,24,33,26,18,83
37332,88,64,5,0,19,69
37333,330,140,115,6,69,261
37334,85,55,19,2,9,76
37335,29,14,12,2,1,28
37336,45,21,12,2,10,35
37337,33,6,19,0,8,25
37338,45,32,5,2,6,39
37339,94,58,19,2,15,79
37340,58,28,8,9,13,45
37341,32,21,2,0,9,23
37342,19,7,8,0,4,15
37343,618,423,59,2,134,484
37344,559,404,40,1,114,445
37345,36,12,16,1,7,29
37346,193,111,21,24,37,156
37347,255,57,131,4,63,192
37348,41,15,13,2,11,30
37349,9,0,9,0,0,9
37350,164,79,27,24,34,130
37351,39,10,25,0,4,35
37352,123,44,38,21,20,103
37353,31,8,20,0,3,28
37354,84,33,10,18,23,61
37355,48,37,1,0,10,38
37356,37,15,4,9,9,28
37357,48,11,23,0,14,34
37358,294,70,46,129,49,245
37359,53,32,5,0,16,37
37360,378,203,106,0,69,309
37361,0,0,0,0,0,0
37362,189,87,44,20,38,151
37363,32,21,9,0,2,30
37364,179,76,27,31,45,134
37365,114,42,28,24,20,94
37366,220,88,72,20,40,180
37367,364,192,103,3,66,298
37368,72,70,0,2,0,72
37369,43,31,7,0,5,38
37370,31,4,9,10,8,23
37371,85,49,23,1,12,73
37372,11,2,7,0,2,9
37373,3,2,0,0,1,2
37374,41,10,25,4,2,39
37375,32,21,9,0,2,30
37376,55,26,15,2,12,43
37377,38,11,21,1,5,33
37378,78,22,27,10,19,59
37379,31,9,12,0,10,21
37380,88,29,30,11,18,70
37381,8,3,3,0,2,6
37382,50,20,17,3,10,40
37383,9,7,2,0,0,9
37384,32,12,12,0,8,24
37385,31,18,9,0,4,27
37386,22,16,4,0,2,20
37387,41,30,9,2,0,41
37388,38,23,9,2,4,34
37389,29,4,20,0,5,24
37390,128,47,46,8,27,101
37391,32,21,9,0,2,30
37392,176,77,28,28,43,133
37393,69,44,7,3,15,54
37394,74,5,55,1,13,61
37395,263,201,15,0,47,216
37396,59,14,39,0,6,53
37397,56,20,25,1,10,46
37398,477,218,165,12,82,395
37399,58,19,12,19,8,50
37400,156,90,28,1,37,119
37401,70,44,14,0,12,58
37402,100,53,24,4,19,81
37403,284,151,69,16,48,236
37404,90,32,33,5,20,70
37405,106,40,30,9,27,79
37406,79,15,56,2,6,73
37407,242,101,14,82,45,197
37408,15,10,3,0,2,13
37409,70,17,37,3,13,57
37410,51,26,6,9,10,41
37411,15,3,11,0,1,14
37412,106,38,25,20,23,83
37413,256,57,138,3,58,198
37414,487,281,64,41,101,386
37415,42,18,10,3,11,31
37416,214,85,14,77,38,176
37417,88,62,5,0,21,67
37418,95,58,11,2,24,71
37419,58,35,9,4,10,48
37420,19,14,3,0,2,17
37421,41,3,29,2,7,34
37422,75,30,21,6,18,57
37423,221,89,75,19,38,183
37424,72,54,2,0,16,56
37425,275,82,131,17,45,230
37426,221,90,41,38,52,169
37427,71,22,28,3,18,53
37428,69,5,48,1,15,54
37429,88,43,19,4,22,66
37430,15,8,4,0,3,12
37431,74,56,7,0,11,63
37432,34,5,22,0,7,27
37433,157,75,42,8,32,125
37434,8,6,2,0,0,8
37435,26,9,8,3,6,20
37436,20,3,0,9,8,12
37437,19,12,1,0,6,13
37438,43,17,16,0,10,33
37439,46,18,20,0,8,38
37440,23,8,8,3,4,19
37441,78,22,25,9,22,56
37442,120,55,34,3,28,92
37443,55,34,9,0,12,43
37444,25,5,1,15,4,21
37445,21,6,10,1,4,17
37446,98,94,0,4,0,98
37447,68,46,7,0,15,53
37448,96,33,26,15,22,74
37449,43,17,22,0,4,39
37450,28,14,7,0,7,21
37451,479,130,201,39,109,370
37452,14,4,6,1,3,11
37453,10,4,5,0,1,9
37454,79,32,22,11,14,65
37455,84,38,23,1,22,62
37456,145,49,71,0,25,120
37457,74,50,12,0,12,62
37458,208,95,34,25,54,154
37459,120,81,11,3,25,95
37460,34,25,2,0,7,27
37461,19,7,7,0,5,14
37462,432,197,105,40,90,342
37463,61,48,1,0,12,49
37464,65,49,6,0,10,55
37465,227,77,88,14,48,179
37466,13,4,3,1,5,8
37467,42,15,21,0,6,36
37468,36,16,8,3,9,27
37469,22,4,14,1,3,19
37470,100,37,41,9,13,87
37471,169,82,52,3,32,137
37472,20,9,5,0,6,14
37473,56,38,7,1,10,46
37474,110,34,36,14,26,84
37475,157,68,25,25,39,118
37476,163,69,35,20,39,124
37477,32,20,5,1,6,26
37478,17,3,12,0,2,15
37479,180,136,3,2,39,141
37480,4,2,0,0,2,2
37481,53,28,19,0,6,47
37482,74,6,43,6,19,55
37483,47,28,10,0,9,38
37484,67,33,11,6,17,50
37485,285,117,120,3,45,240
37486,364,150,95,39,80,284
37487,99,49,22,7,21,78
37488,55,33,6,7,9,46
37489,82,25,41,2,14,68
37490,54,6,15,22,11,43
37491,13,6,4,1,2,11
37492,31,25,4,0,2,29
37493,25,11,12,0,2,23
37494,121,78,12,4,27,94
37495,34,25,2,0,7,27
37496,13,4,7,2,0,13
37497,155,79,45,1,30,125
37498,44,35,2,0,7,37
37499,43,8,22,0,13,30
37500,471,137,193,35,106,365
37501,533,326,91,5,111,422
37502,228,98,15,75,40,188
37503,117,38,39,13,27,90
37504,63,31,16,0,16,47
37505,55,40,8,0,7,48
37506,53,35,3,6,9,44
37507,55,37,8,1,9,46
37508,361,187,92,19,63,298
37509,75,63,1,2,9,66
37510,32,21,9,0,2,30
37511,73,35,21,2,15,58
37512,42,11,20,0,11,31
37513,124,59,32,0,33,91
37514,59,44,12,0,3,56
37515,33,11,10,5,7,26
37516,140,81,29,4,26,114
37517,121,43,53,1,24,97
37518,27,14,2,4,7,20
37519,34,15,12,1,6,28
37520,389,106,185,6,92,297
37521,25,5,14,0,6,19
37522,8,7,1,0,0,8
37523,359,191,101,3,64,295
37524,116,52,23,16,25,91
37525,143,49,33,28,33,110
37526,108,34,52,1,21,87
37527,6,1,5,0,0,6
37528,498,257,109,30,102,396
37529,34,7,8,7,12,22
37530,81,28,30,10,13,68
37531,43,9,17,8,9,34
37532,389,283,19,2,85,304
37533,54,35,7,0,12,42
37534,33,12,10,1,10,23
37535,89,33,38,3,15,74
37536,17,9,0,3,5,12
37537,252,132,81,0,39,213
37538,26,15,6,0,5,21
37539,32,21,9,0,2,30
37540,102,34,24,25,19,83
37541,8,4,1,1,2,6
37542,58,42,7,4,5,53
37543,36,11,18,0,7,29
37544,56,37,12,0,7,49
37545,13,6,6,0,1,12
37546,53,32,5,0,16,37
37547,322,172,87,13,50,272
37548,12,8,3,0,1,11
37549,61,19,31,1,10,51
37550,76,30,34,2,10,66
37551,202,49,40,77,36,166
37552,45,28,10,0,7,38
37553,32,5,8,10,9,23
37554,113,72,24,0,17,96
37555,45,24,11,0,10,35
37556,24,7,13,0,4,20
37557,60,7,38,0,15,45
37558,419,208,102,23,86,333
37559,476,131,200,38,107,369
37560,41,11,10,14,6,35
37561,65,19,27,3,16,49
37562,53,32,4,7,10,43
37563,84,39,28,1,16,68
37564,18,8,4,1,5,13
37565,71,26,27,1,17,54
37566,129,90,10,2,27,102
37567,57,35,3,10,9,48
37568,130,75,28,0,27,103
37569,219,124,42,12,41,178
37570,38,18,12,1,7,31
37571,113,82,13,0,18,95
37572,11,1,6,0,4,7
37573,323,139,113,10,61,262
37574,70,22,36,0,12,58
37575,127,66,12,21,28,99
37576,44,29,2,1,12,32
37577,45,6,20,12,7,38
37578,10,4,4,0,2,8
37579,36,18,9,3,6,30
37580,197,97,31,33,36,161
37581,107,83,3,0,21,86
37582,67,17,30,11,9,58
37583,44,29,7,0,8,36
37584,48,37,0,1,10,38
37585,36,15,20,0,1,35
37586,33,24,5,0,4,29
37587,20,6,0,7,7,13
37588,27,13,10,0,4,23
37589,332,168,99,5,60,272
37590,428,135,178,23,92,336
37591,65,33,9,9,14,51
37592,80,39,29,1,11,69
37593,46,18,20,0,8,38
37594,56,20,19,2,15,41
37595,104,43,18,20,23,81
37596,162,82,47,1,32,130
37597,16,10,1,1,4,12
37598,36,18,9,3,6,30
37599,63,47,12,0,4,59
37600,42,27,7,3,5,37
37601,227,75,87,13,52,175
37602,47,11,20,4,12,35
37603,233,79,89,15,50,183
37604,36,15,11,0,10,26
37605,31,4,19,0,8,23
37606,89,21,48,0,20,69
37607,41,7,18,3,13,28
37608,50,24,17,0,9,41
37609,209,92,60,13,44,165
37610,515,280,114,12,109,406
37611,36,17,14,0,5,31
37612,169,60,74,0,35,134
37613,97,27,21,28,21,76
37614,28,10,12,1,5,23
37615,284,123,98,10,53,231
37616,106,49,34,4,19,87
37617,289,196,68,3,22,267
37618,81,34,21,3,23,58
37619,27,15,8,0,4,23
37620,60,30,11,2,17,43
37621,13,6,7,0,0,13
37622,344,249,27,0,68,276
37623,35,12,14,0,9,26
37624,254,56,151,0,47,207
37625,54,36,3,6,9,45
37626,342,95,158,9,80,262
37627,38,29,6,3,0,38
37628,129,94,5,2,28,101
37629,451,232,112,14,93,358
37630,31,8,11,4,8,23
37631,38,17,16,0,5,33
37632,56,29,13,4,10,46
37633,3,1,0,0,2,1
37634,140,80,23,3,34,106
37635,18,2,12,0,4,14
37636,50,23,10,3,14,36
37637,188,108,22,23,35,153
37638,119,36,50,7,26,93
37639,40,17,9,1,13,27
37640,33,18,5,2,8,25
37641,83,64,1,0,18,65
37642,88,68,0,4,16,72
37643,46,18,20,0,8,38
37644,14,4,5,1,4,10
37645,169,81,52,3,33,136
37646,51,26,14,1,10,41
37647,19,5,11,0,3,16
37648,40,20,10,0,10,30
37649,35,9,14,3,9,26
37650,56,16,27,0,13,43
37651,94,41,17,13,23,71
37652,98,24,39,13,22,76
37653,24,1,13,0,10,14
37654,8,3,4,0,1,7
37655,360,159,125,6,70,290
37656,421,191,139,8,83,338
37657,30,10,11,0,9,21
37658,28,11,9,0,8,20
37659,26,6,15,0,5,21
37660,25,10,7,3,5,20
37661,9,2,5,0,2,7
37662,143,49,33,28,33,110
37663,33,21,2,0,10,23
37664,37,25,5,2,5,32
37665,61,29,7,11,14,47
37666,405,229,93,0,83,322
37667,91,70,8,0,13,78
37668,47,21,20,0,6,41
37669,106,25,60,3,18,88
37670,158,117,9,4,28,130
37671,184,77,66,4,37,147
37672,133,78,41,0,14,119
37673,12,4,2,0,6,6
37674,82,34,30,0,18,64
37675,41,29,4,0,8,33
37676,70,54,1,0,15,55
37677,345,181,84,20,60,285
37678,82,52,14,2,14,68
37679,38,19,12,0,7,31
37680,67,35,3,16,13,54
37681,76,26,39,0,11,65
37682,66,14,25,3,24,42
37683,30,7,16,0,7,23
37684,32,21,9,0,2,30
37685,285,136,79,12,58,227
37686,130,47,27,26,30,100
37687,440,230,117,18,75,365
37688,178,101,32,0,45,133
37689,86,45,26,0,15,71
37690,139,90,19,0,30,109
37691,2,1,0,0,1,1
37692,63,22,26,1,14,49
37693,73,28,25,0,20,53
37694,238,116,76,4,42,196
37695,21,10,7,1,3,18
37696,16,7,8,0,1,15
37697,135,72,30,5,28,107
37698,43,4,33,1,5,38
37699,69,11,43,0,15,54
37700,13,3,7,1,2,11
37701,17,1,13,0,3,14
37702,9,5,3,0,1,8
37703,67,31,19,2,15,52
37704,15,1,12,0,2,13
37705,65,12,33,6,14,51
37706,39,18,13,0,8,31
37707,45,19,21,0,5,40
37708,39,13,19,0,7,32
37709,46,18,20,0,8,38
37710,70,45,4,10,11,59
37711,39,1,30,0,8,31
37712,158,113,20,0,25,133
37713,68,30,21,3,14,54
37714,74,45,18,0,11,63
37715,434,206,135,12,81,353
37716,85,24,35,11,15,70
37717,278,95,126,14,43,235
37718,32,21,9,0,2,30
37719,30,8,12,2,8,22
37720,91,53,20,0,18,73
37721,18,4,7,0,7,11
37722,373,210,85,0,78,295
37723,572,321,141,19,91,481
37724,45,14,20,3,8,37
37725,51,8,22,7,14,37
37726,434,204,112,29,89,345
37727,198,53,39,67,39,159
37728,39,23,8,0,8,31
37729,62,13,37,3,9,53
37730,70,19,26,9,16,54
37731,528,235,128,47,118,410
37732,33,7,16,1,9,24
37733,50,16,23,4,7,43
37734,131,82,25,3,21,110
37735,42,10,14,9,9,33
37736,35,8,18,0,9,26
37737,63,31,23,2,7,56
37738,233,93,14,82,44,189
37739,9,2,2,3,2,7
37740,31,14,7,0,10,21
37741,30,22,3,1,4,26
37742,110,45,36,10,19,91
37743,48,19,21,0,8,40
37744,40,20,10,1,9,31
37745,27,15,9,2,1,26
37746,159,72,51,5,31,128
37747,39,3,27,0,9,30
37748,135,101,4,2,28,107
37749,31,9,18,0,4,27
37750,151,37,72,4,38,113
37751,139,83,29,0,27,112
37752,79,47,16,3,13,66
37753,70,44,8,2,16,54
37754,63,11,37,0,15,48
37755,447,208,100,41,98,349
37756,66,36,17,0,13,53
37757,35,13,13,2,7,28
37758,121,82,12,2,25,96
37759,27,3,22,0,2,25
37760,232,78,90,13,51,181
37761,379,206,114,0,59,320
37762,10,5,3,0,2,8
37763,90,51,16,1,22,68
37764,100,39,21,12,28,72
37765,147,96,27,0,24,123
37766,17,5,5,0,7,10
37767,26,9,9,2,6,20
37768,49,24,17,0,8,41
37769,38,17,16,0,5,33
37770,45,26,8,0,11,34
37771,343,146,120,6,71,272
37772,29,12,7,7,3,26
37773,12,2,7,1,2,10
37774,167,81,52,3,31,136
37775,149,29,91,1,28,121
37776,139,91,29,3,16,123
37777,32,17,13,0,2,30
37778,108,21,51,15,21,87
37779,63,35,19,1,8,55
37780,58,47,0,0,11,47
37781,63,30,16,1,16,47
37782,70,36,24,2,8,62
37783,24,12,8,2,2,22
37784,182,111,32,5,34,148
37785,58,18,15,13,12,46
37786,9,8,0,0,1,8
37787,67,20,35,0,12,55
37788,39,24,8,4,3,36
37789,26,14,3,0,9,17
37790,206,89,85,0,32,174
37791,44,10,4,21,9,35
37792,21,3,13,0,5,16
37793,55,18,21,8,8,47
37794,34,13,20,0,1,33
37795,46,18,20,0,8,38
37796,235,55,25,116,39,196
37797,164,84,39,0,41,123
37798,84,58,5,0,21,63
37799,430,200,93,50,87,343
37800,85,20,36,14,15,70
37801,96,41,38,4,13,83
37802,21,13,6,0,2,19
37803,116,41,47,0,28,88
