,0
14623,dwe
14625,tcrs
14677,tcrs
14682,dwe
14686,kkkt
14704,dwe
14717,dwe
14720,sengerema water department
14728,dwe
14746,dwe
14749,dwe
14805,dwe
14807,gover
14815,dwe
14827,tcrs
14861,tcrs
14883,kkkt _ konde and dwe
14901,dwe
14924,dwe
14963,dwe
14964,dwe
14986,wananchi
14999,dwe
15079,gover
15101,dwe
15121,idara ya maji
15129,kkkt _ konde and dwe
15147,dwe
15154,idara ya maji
15156,dwe
15181,idara ya maji
15194,kkkt _ konde and dwe
15215,idara ya maji
15224,dwe
15242,wizara ya maji
15256,dwe
15262,dwe
15289,dwe
15298,dwe
15323,kkkt _ konde and dwe
15397,dwe
15416,dwe
15433,rundu man
15442,0
15444,kkkt _ konde and dwe
15466,wedeco
15471,dwe
15503,government
15524,dwe
15542,idara ya maji
15545,runduman
15563,dwe
15572,dwe
15587,dwe
15628,tcrs
15655,tcrs
15674,kkkt _ konde and dwe
15686,dwe
15708,wananchi
15731,kkkt _ konde and dwe
15734,dwe
15763,rundu man
15790,wananchi
15812,dwe
15818,rundu man
15822,dwe
15824,dwe
15882,idara ya maji
15896,dwe
15901,rundu man
15904,dwe
15910,rundu man
15928,jaica
15949,dwe
15960,dwe
15985,dwe
15998,dwe
16012,dwe
16023,tcrs
16096,rundu man
16126,dwe
16128,dwe
16139,dwe
16140,dwe
16151,tcrs
16201,dwe
16224,district council
16231,idara ya maji
16238,idara ya maji
16297,dwe
16323,dwe
16335,tcrs
16366,idara ya maji
16438,dwe
16456,wananchi
16480,dwe
16495,dwe
16498,dwe
16504,kkkt _ konde and dwe
16506,dwe
16515,dwe
16561,dwe
16562,idara ya maji
16607,dwe
16611,dwe
16619,dwe
16620,dwe
16627,tcrs
16648,dwe
16687,dwe
16688,kkkt
16697,world vision
16727,dwe
16753,dwe
16766,dwe
16773,rundu man
16789,dwe
16801,tcrs
16813,idara ya maji
16844,dwe
16875,dwe
16882,dwe
16885,dwe
16892,dwe
16898,tcrs
16904,runduman
16927,dwe
16943,dwe
16971,kkkt _ konde and dwe
17007,dwe
17020,dwe
17043,dwe
17047,tcrs
17049,dwe
17077,dwe
17078,dwe
17079,dwe
17085,dwe
17123,dwe
17159,dwe
17168,dwe
17177,dwe
17194,dwe
17205,dwe
17239,dwe
17252,kkkt _ konde and dwe
17255,tcrs
17262,dwe
17268,dwe
17299,rundu man
17305,wananchi
17307,dwe
17315,artisan
17338,central government
17343,wananchi
17344,dwe
17380,idara ya maji
17403,kkkt
17420,dwe
17422,rundu man
17433,dwe
17461,norad
17462,dwe
17520,government
17533,dwe
17553,dwe
17566,dwe
17584,kkkt _ konde and dwe
17597,idara ya maji
17631,dwe
17638,dwe
17650,world vision
17652,idara ya maji
17656,dwe
17657,government
17671,dwe
17673,kkkt _ konde and dwe
17690,0
17697,idara ya maji
17699,dwe
17700,dwe
17712,kkkt
17713,dwe
17714,dwe
17716,tcrs
17717,dwe
17720,dwe
17729,dwe
17769,dwe
17770,dwe
17787,dwe
17801,dwe
17803,dwe
17824,dwe
17826,tcrs
17830,dwe
17854,artisan
17856,dwe
17893,dwe
17901,dwe
17904,rundu man
17926,tcrs
17935,dwe
17954,dwe
17982,kkkt _ konde and dwe
18014,dwe
18019,wananchi
18023,tcrs
18028,kkkt _ konde and dwe
18041,dwe
18057,dwe
18069,dwe
18088,idara ya maji
18162,dwe
18166,dwe
18168,dwe
18201,dwe
18228,dwe
18231,0
18345,dwe
18377,dwe
18390,fini water
18441,dwe
18465,0
18472,sengerema water department
18475,dwe
18494,dwe
18541,dwe
18543,government
18548,dwe
18577,kkkt _ konde and dwe
18579,inves
18667,idara ya maji
18668,dwe
18673,idara ya maji
18694,dwe
18697,dwe
18703,kkkt _ konde and dwe
18705,dwe
18716,idara ya maji
18721,hesawa
18728,tcrs
18745,dwe
18780,dwe
18794,tcrs
18803,dwe
18829,dwe
18847,dwe
18869,dwe
18873,dwe
18881,kkkt _ konde and dwe
18893,dwe
18896,central government
18912,dwe
18932,idara ya maji
18934,tcrs
18943,dwe
19001,jaica
19034,dwe
19050,dwe
19055,dwe
19089,tcrs
19105,dwe
19107,kkkt _ konde and dwe
19116,dwe
19120,sengerema water department
19129,dwe
19139,government
19141,dwe
19147,tcrs
19159,dwe
19203,rundu man
19204,dwe
19216,dwe
19233,dwe
19249,kkkt _ konde and dwe
19279,dwe
19280,dw
19301,tcrs
19313,dwe
19332,kkkt _ konde and dwe
19377,dwe
19394,dwe
19396,kkkt _ konde and dwe
19409,government
19415,dwe
19430,dwe
19443,dwe
19454,dwe
19467,dwe
19470,wananchi
19473,dwe
19474,dwe
19505,tcrs
19524,dwe
19545,dwe
19547,wananchi
19557,dwe
19587,grumeti
19621,rundu man
19637,dwe
19644,dwe
19646,rundu man
19653,tcrs
19674,kkkt
19696,dwe
19702,dwe
19711,kkkt
19750,dwe
19792,dwe
19801,dwe
19817,dwe
19835,dwe
19853,dwe
19891,government
19899,dwe
19906,wizara ya maji
19907,idara ya maji
19908,rundu man
19950,wananchi
19978,kkkt _ konde and dwe
19984,dwe
20008,dwe
20070,kkkt _ konde and dwe
20117,dwe
20135,dwe
20144,rwssp
20161,rundu man
20168,dwe
20185,dwe
20211,dwe
20218,dwe
20256,tcrs
20291,tcrs
20301,kkkt _ konde and dwe
20311,rundu man
20320,rundu man
20367,dwe
20400,government
20402,dwe
20406,government
20409,dwe
20420,tcrs
20422,idara ya maji
20456,dwe
20494,0
20509,dwe
20510,dwe
20517,kkkt _ konde and dwe
20553,kkkt _ konde and dwe
20571,idara ya maji
20574,idara ya maji
20580,tcrs
20620,dwe
20627,dwe
20634,dwe
20637,dmdd
20673,rundu man
20706,dwe
20720,0
20729,dwe
20741,dwe
20743,kkkt _ konde and dwe
20758,dwe
20781,tcrs
20782,dwe
20792,dwe
20793,kkkt _ konde and dwe
20798,idara ya maji
20812,kkkt _ konde and dwe
20829,kkkt _ konde and dwe
20850,dwe
20870,wananchi
20876,dwe
20903,dwe
20912,dwe
20915,dwe
20951,rundu man
20988,idara ya maji
21060,kkkt _ konde and dwe
21080,dwe
21097,dwe
21131,dwe
21157,dwe
21174,idara ya maji
21182,idara ya maji
21195,tcrs
21209,dwe
21226,idara ya maji
21228,dwe
21246,idara ya maji
21280,rundu man
21300,dwe
21309,dwe
21313,dwe
21319,dwe
21325,wizara ya maji
21333,tcrs
21348,tcrs
21361,dwe
21377,dwe
21386,tcrs
21397,dwe
21415,dwe
21423,dwe
21479,tcrs
21492,idara ya maji
21507,dwe
21516,idara ya maji
21537,dwe
21538,dwe
21562,amref
21570,dwe
21571,dwe
21572,tcrs
21582,dwe
21595,kkkt _ konde and dwe
21612,idara ya maji
21637,ir
21683,dwe
21690,dwe
21692,government
21695,dwe
21705,dwe
21734,tcrs
21747,dwe
21748,dwe
21753,dwe
21766,idara ya maji
21833,dwe
21847,rundu man
21864,dwe
21869,kkkt _ konde and dwe
21872,dwe
21882,dwe
21887,dwe
21890,dwe
21896,dwe
21903,sengerema water department
21914,tcrs
21920,dwe
21948,dwe
21959,dwe
21995,dwe
22082,dwe
22085,dwe
22117,tcrs
22129,kkkt _ konde and dwe
22135,dwe
22136,rundu man
22148,dwe
22168,dwe
22186,tcrs
22233,sengerema water department
22258,dwe
22260,dwe
22269,dwe
22270,dwe
22273,building works company ltd
22296,wananchi
22310,kkkt _ konde and dwe
22318,idara ya maji
22322,dwe
22333,wananchi
22351,dwe
22476,dwe
22492,dwe
22519,dwe
22522,dwe
22547,dwe
22551,dwe
22558,idara ya maji
22563,dwe
22592,dwe
22646,rundu man
22652,dwe
22660,dwe
22665,kkkt _ konde and dwe
22672,dwe
22700,dwe
22704,dwe
22721,sengerema water department
22777,dwe
22826,dwe
22855,kkkt
22863,dwe
22874,dwe
22897,dwe
22900,dwe
22902,tcrs
22905,tcrs
22921,kkkt _ konde and dwe
22927,tcrs
22945,dwe
22954,kkkt _ konde and dwe
22961,dwe
22967,dwe
22972,dwe
23047,government
23053,dwe
23056,rundu man
23058,dwe
23061,dwe
23093,dwe
23121,rundu man
23131,rundu man
23132,dwe
23164,dwe
23172,dwe
23183,dwe
23192,wananchi
23207,mission
23217,dwe
23227,mission
23248,government
23267,kkkt
23293,dwe
23295,government
23297,dwe
23300,tcrs
23308,dwe
23320,idara ya maji
23323,kkkt _ konde and dwe
23334,tcrs
23343,dwe
23371,dwe
23376,wedeco
23381,dwe
23396,jandu plumber co
23400,dwe
23401,hesawa
23441,rundu man
23443,kkkt _ konde and dwe
23445,tcrs
23451,dwe
23464,dwe
23474,dwe
23495,government
23510,dwe
23545,kkkt _ konde and dwe
23554,ir
23565,dwe
23580,dwe
23611,kkkt _ konde and dwe
23620,dwe
23626,tcrs
23636,kkkt _ konde and dwe
23652,dwe
23698,dwe
23725,dwe
23749,idara ya maji
23764,kkkt _ konde and dwe
23790,dwe
23844,dwe
23850,dwe
23871,dwe
23873,dwe
23878,dwe
23894,dwe
23912,dwe
23944,runduman
23975,dwe
23984,dwe
24017,dwe
24067,dwe
24077,dwe
24100,dwe
24122,dwe
24153,idara ya maji
24159,dwe
24160,rundu man
24188,dwe
24191,dwe
24194,dwe
24195,dwe
24230,tcrs
24239,dwe
24261,dwe
24265,government
24283,dwe
24289,dwe
24317,wizara ya maji
24320,dwe
24362,kkkt _ konde and dwe
24373,dwe
24383,dwe
24393,idara ya maji
24522,rundu man
24531,government
24540,dwe
24555,dwe
24567,tcrs
24610,dwe
24621,dwe
24663,tcrs
24683,hesawa
24712,idara ya maji
24731,rundu man
24735,dwe
24739,dwe
24741,rundu man
24767,kiliflora
24810,dwe
24817,dwe
24826,central government
24890,kkkt _ konde and dwe
24897,idara ya maji
24899,wananchi
24905,dwe
24939,dwe
24978,dwe
24980,dwe
24991,idara ya maji
24993,idara ya maji
25028,kkkt _ konde and dwe
25041,dwe
25051,active tank co
25058,tcrs
25062,dwe
25078,dwe
25085,tcrs
25103,dwe
25127,tcrs
25137,dwe
25149,tcrs
25172,dwe
25208,dwe
25219,dwe
25242,dwe
25243,dwe
25251,dwe
25267,kkkt _ konde and dwe
25275,kkkt _ konde and dwe
25279,dwe
25290,dwe
25292,dwe
25331,dwe
25349,dwe
25390,dwe
25420,sengerema water department
25447,idara ya maji
25449,dwe
25455,runduman
25459,dwe
25462,dwe
25463,dwe
25478,tcrs
25504,government
25526,dwe
25531,tcrs
25540,world vision
25548,rundu man
25560,idara ya maji
25610,dwe
25620,dwe
25643,rundu man
25651,dwe
25708,dwe
25751,dwe
25753,dwe
25778,dwe
25779,idara ya maji
25782,dwe
25809,dwe
25810,dwe
25843,sengerema water department
25848,dwe
25868,dwe
25908,dwe
25944,rundu man
25947,rundu man
25949,kkkt
25952,dwe
25954,kkkt _ konde and dwe
25958,rundu man
25979,dwe
25980,dwe
26008,dwe
26017,kkkt _ konde and dwe
26021,dwe
26029,dwe
26034,dwe
26040,dwe
26041,dwe
26098,0
26136,ridep
26143,tcrs
26167,tcrs
26173,dwe
26174,dwe
26179,tcrs
26192,dwe
26193,tcrs
26205,dwe
26227,dwe
26235,idara ya maji
26249,kkkt _ konde and dwe
26258,dwe
26290,dwe
26310,dwe
26312,tcrs
26315,fini water
26329,dwe
26356,tcrs
26362,dwe
26370,swiss if
26399,dwe
26418,sengerema water department
26425,dwe
26452,dwe
26463,artisan
26489,dwe
26510,dwe
26518,gover
26528,wizara ya maji
26539,dwe
26607,government
26612,dwe
26658,dwe
26665,tcrs
26709,idara ya maji
26754,dwe
26757,rwssp
26773,kkkt _ konde and dwe
26800,government
26807,distri
26808,tcrs
26812,tcrs
26824,idara ya maji
26838,kkkt
26844,dwe
26859,rundu man
26872,kkkt
26882,idara ya maji
26895,idara ya maji
26896,dwe
26920,kkkt _ konde and dwe
26938,dwe
26948,kkkt
26953,dwe
26961,dwe
26968,idara ya maji
26971,dwe
26983,dwe
26986,dwe
27000,kkkt _ konde and dwe
27001,dwe
27042,dwe
27070,idara ya maji
27080,tcrs
27093,dwe
27107,dwe
27120,dwe
27136,dwe
27152,dwe
27205,dwe
27247,idara ya maji
27264,dwe
27286,dwe
27325,dwe
27364,dwe
27402,rundu man
27416,tcrs
27432,dwe
27445,dwe
27458,government
27462,tcrs
27465,idara ya maji
27469,dwe
27470,idara ya maji
27472,dwe
27498,dwe
27515,idara ya maji
27518,dwe
27612,dwe
27623,idara ya maji
27630,dwe
27633,dwe
27646,dwe
27705,wananchi
27778,idara ya maji
27788,dwe
27798,dwe
27822,dwe
27823,dwe
27844,idara ya maji
27857,rundu man
27929,dwe
27943,tcrs
27946,dwe
27955,idara ya maji
27965,kkkt _ konde and dwe
27979,tcrs
28019,rundu man
28029,dwe
28032,dwe
28043,dwe
28084,dwe
28103,tcrs
28105,dwe
28113,dwe
28116,dwe
28137,tcrs
28139,idara ya maji
28147,dwe
28219,tcrs
28233,dwe
28267,dwe
28298,dwe
28307,dwe
28329,dwe
28372,dwe
28388,tcrs
28399,idara ya maji
28403,dwe
28425,tcrs
28448,dwe
28449,tcrs
28490,wananchi
28492,wananchi
28510,dwe
28524,tcrs
28553,dwe
28558,kkkt
28575,dwe
28637,dwe
28666,idara ya maji
28674,idara ya maji
28689,idara ya maji
28690,dwe
28711,dwe
28713,dwe
28715,dwe
28736,dwe
28741,kkkt _ konde and dwe
28777,mdrdp
28783,dwe
28800,government
28814,dwe
28817,dwe
28838,kkkt _ konde and dwe
28858,dwe
28864,dwe
28873,runduman
28881,amref
28898,dwe
